no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,76,1.266813563457228,45,12,PPP,0,0,0,1,200,250,250,0.1,10,0,827,195.29999999989377,0.4957678355501814
1,26,2.7396313128056833,82,34,PPP,0,0,0,1,450,350,150,0.1,10,0,346,-2846.0999999999476,0.5346820809248555
2,74,2.0882011159168083,35,30,PPP,0,0,0,1,450,100,250,0.1,10,0,429,-2385.700000000077,0.5174825174825175
3,89,3.0111639309129012,81,23,PPP,0,0,0,1,100,300,250,0.1,10,0,287,1569.1999999998952,0.3832752613240418
4,47,2.8028240476819883,75,32,PPP,0,0,0,1,200,100,200,0.1,10,0,335,-1401.3999999999796,0.5014925373134328
5,49,2.921345336919381,14,40,PPP,0,0,0,1,150,150,200,0.1,10,0,311,-429.00000000008004,0.4887459807073955
6,78,1.2106303942008543,63,24,PPP,0,0,0,1,100,500,250,0.1,10,0,728,243.10000000004948,0.45054945054945056
7,64,2.9380702115535637,18,19,PPP,0,0,0,1,350,500,250,0.1,10,0,329,-955.9000000000378,0.47112462006079026
8,57,1.4068341543823264,70,17,PPP,0,0,0,1,150,50,250,0.1,10,0,758,-216.69999999995343,0.5065963060686016
9,36,1.138768469529742,33,36,PPP,0,0,0,1,250,100,150,0.1,10,0,711,847.8999999999214,0.5668073136427567
10,30,2.7925092222727588,29,11,PPP,0,0,0,1,200,100,150,0.1,10,0,325,239.99999999995634,0.4523076923076923
11,60,2.642789751381661,77,6,PPP,0,0,0,1,250,200,50,0.1,10,0,349,1478.099999999984,0.42120343839541546
12,64,2.8135328107801683,100,32,PPP,0,0,0,1,300,500,250,0.1,10,0,319,-4544.4000000000815,0.5015673981191222
13,77,0.9275864911625515,44,25,PPP,0,0,0,1,50,450,50,0.1,10,0,882,-2364.79999999993,0.37188208616780044
14,12,3.2250415708540245,48,36,PPP,0,0,0,1,200,500,150,0.1,10,0,272,-2435.500000000029,0.4485294117647059
15,94,2.4112022502986177,21,15,PPP,0,0,0,1,250,400,150,0.1,10,0,391,1482.0000000000873,0.45012787723785164
16,19,3.0576173434809637,87,29,PPP,0,0,0,1,150,150,100,0.1,10,0,304,-3150.000000000102,0.4506578947368421
17,50,1.1144532725438165,24,6,PPP,0,0,0,1,500,100,250,0.1,10,0,1091,-149.40000000030705,0.4665444546287809
18,34,3.0432707631081337,31,13,PPP,0,0,0,1,250,150,100,0.1,10,0,297,2296.999999999898,0.49158249158249157
19,17,3.148727193260256,74,10,PPP,0,0,0,1,400,150,50,0.1,10,0,237,-1285.1999999999389,0.37130801687763715
20,94,1.2048428722564972,93,33,PPP,0,0,0,1,500,200,150,0.1,10,0,643,685.5999999999622,0.5707620528771384
21,27,2.0146453095123964,26,20,PPP,0,0,0,1,300,400,100,0.1,10,0,509,-3261.4000000001397,0.48919449901768175
22,51,3.3240009181931947,66,15,PPP,0,0,0,1,150,300,50,0.1,10,0,281,3684.900000000016,0.42704626334519574
23,40,2.625840724676501,44,14,PPP,0,0,0,1,350,400,200,0.1,10,0,379,-776.2999999999811,0.47757255936675463
24,67,1.8120719267314112,69,16,PPP,0,0,0,1,100,50,150,0.1,10,0,588,-210.80000000007567,0.47278911564625853
25,51,1.7090595054698443,70,19,PPP,0,0,0,1,500,350,150,0.1,10,0,617,-1190.6000000000859,0.5332252836304701
26,80,1.223010229942842,64,4,PPP,0,0,0,1,250,500,250,0.1,10,0,815,3206.5000000000437,0.4245398773006135
27,12,1.757663176343938,48,29,PPP,0,0,0,1,100,50,50,0.1,10,0,583,1930.399999999965,0.4888507718696398
28,86,2.162192762536069,41,24,PPP,0,0,0,1,300,300,50,0.1,10,0,421,1134.8000000000757,0.503562945368171
29,74,2.5197500406676916,29,48,PPP,0,0,0,1,50,450,50,0.1,10,0,315,-1473.2000000000698,0.28888888888888886
30,27,2.825072389195384,85,25,PPP,0,0,0,1,250,50,50,0.1,10,0,333,1522.2999999998647,0.5495495495495496
31,84,2.047624397946704,35,9,PPP,0,0,0,1,400,250,100,0.1,10,0,495,4474.899999999907,0.4909090909090909
32,80,2.5527246048609626,53,40,PPP,0,0,0,1,100,450,250,0.1,10,0,319,-3861.900000000045,0.38557993730407525
33,20,1.2740879304213168,53,21,PPP,0,0,0,1,400,450,50,0.1,10,0,851,-1966.9999999998909,0.5311398354876615
34,17,3.113871416720887,12,5,PPP,0,0,0,1,500,200,100,0.1,10,0,239,1021.2000000000116,0.3389121338912134
35,65,3.3235436607608784,32,23,PPP,0,0,0,1,300,250,100,0.1,10,0,281,-3742.8000000000975,0.4555160142348754
36,92,1.0692207063728503,97,13,PPP,0,0,0,1,400,300,50,0.1,10,0,946,-819.1999999999971,0.4883720930232558
37,65,3.125177680672535,20,33,PPP,0,0,0,1,500,300,150,0.1,10,0,283,-4417.300000000032,0.4840989399293286
38,34,2.4582067206779756,31,16,PPP,0,0,0,1,350,300,200,0.1,10,0,427,-2680.2000000000116,0.47306791569086654
39,63,0.8174813555065449,21,41,PPP,0,0,0,1,450,50,200,0.1,10,0,773,1440.1999999999025,0.5679172056921087
40,84,3.139383628920944,79,21,PPP,0,0,0,1,500,500,250,0.1,10,0,277,940.0999999999476,0.45126353790613716
41,96,1.521026115324009,33,33,PPP,0,0,0,1,450,500,250,0.1,10,0,543,1800.9000000000597,0.5377532228360957
42,94,2.1046128024011157,31,17,PPP,0,0,0,1,250,50,50,0.1,10,0,449,-2245.1000000000786,0.49665924276169265
43,88,2.5822166484001783,44,39,PPP,0,0,0,1,500,450,50,0.1,10,0,308,-3276.4000000000087,0.5032467532467533
44,99,3.4048765132570704,66,31,PPP,0,0,0,1,150,200,200,0.1,10,0,221,-1512.900000000045,0.4117647058823529
45,80,2.643924007161643,76,26,PPP,0,0,0,1,100,400,100,0.1,10,0,337,-25.200000000077125,0.3916913946587537
46,79,1.3304297113544459,62,21,PPP,0,0,0,1,300,250,200,0.1,10,0,704,443.2000000000262,0.5042613636363636
47,75,1.9278035148826183,56,38,PPP,0,0,0,1,350,200,100,0.1,10,0,435,1410.800000000032,0.5586206896551724
48,47,1.6693780996237966,86,34,PPP,0,0,0,1,400,200,200,0.1,10,0,549,-2671.20000000015,0.5209471766848816
49,21,3.4168155888638574,23,19,PPP,0,0,0,1,450,100,100,0.1,10,0,238,547.5999999999767,0.47058823529411764
50,72,2.472779050404225,38,17,PPP,0,0,0,1,300,500,250,0.1,10,0,393,-2.400000000059663,0.49363867684478374
51,47,1.479517280949017,13,25,PPP,0,0,0,1,100,450,250,0.1,10,0,647,-20.1000000000422,0.482225656877898
52,91,1.556873443244959,15,29,PPP,0,0,0,1,100,350,50,0.1,10,0,555,497.49999999992724,0.45045045045045046
53,47,2.115184823156171,49,40,PPP,0,0,0,1,400,200,100,0.1,10,0,421,-1464.9000000000815,0.5320665083135392
54,62,1.0062003573772726,94,5,PPP,0,0,0,1,150,100,150,0.1,10,0,1135,-115.99999999997817,0.4511013215859031
55,87,0.6049537858873707,13,46,PPP,0,0,0,1,150,450,150,0.1,10,0,797,-1326.7000000001135,0.534504391468005
56,26,3.4611891986269123,17,34,PPP,0,0,0,1,450,300,150,0.1,10,0,252,-1394.9999999999636,0.49206349206349204
57,68,0.529670981338104,60,16,PPP,0,0,0,1,300,200,200,0.1,10,0,1470,1776.8000000001484,0.5489795918367347
58,17,1.0762309252061117,71,5,PPP,0,0,0,1,150,500,200,0.1,10,0,951,1865.8000000000102,0.42797055730809674
59,22,1.8444029518629392,13,19,PPP,0,0,0,1,200,50,200,0.1,10,0,587,-1824.5999999999112,0.4906303236797274
60,35,2.610235650185528,25,12,PPP,0,0,0,1,150,200,150,0.1,10,0,381,-242.0,0.4461942257217848
61,84,2.2039615006812268,69,50,PPP,0,0,0,1,400,450,50,0.1,10,0,353,1008.8999999999141,0.5439093484419264
62,21,1.925978721764876,71,48,PPP,0,0,0,1,100,250,200,0.1,10,0,450,-706.0000000000946,0.45555555555555555
63,49,2.915232742231462,61,16,PPP,0,0,0,1,300,500,200,0.1,10,0,345,-28.000000000007276,0.4956521739130435
64,18,2.352488572074815,73,25,PPP,0,0,0,1,250,300,250,0.1,10,0,421,-3883.599999999904,0.47030878859857483
65,79,1.918693713622618,33,14,PPP,0,0,0,1,350,100,200,0.1,10,0,534,739.7999999999665,0.5074906367041199
66,62,1.7942083924081746,73,38,PPP,0,0,0,1,200,200,150,0.1,10,0,487,-107.40000000002328,0.5154004106776181
67,69,1.1487115169406497,19,13,PPP,0,0,0,1,450,200,100,0.1,10,0,942,-2005.9000000000742,0.49363057324840764
68,54,2.5045813410959084,13,32,PPP,0,0,0,1,350,50,50,0.1,10,0,385,-2979.4999999999854,0.4857142857142857
69,14,2.29940770781075,20,19,PPP,0,0,0,1,150,450,250,0.1,10,0,425,-972.7000000000189,0.45176470588235296
70,56,1.625610446484065,49,8,PPP,0,0,0,1,200,150,50,0.1,10,0,701,3903.2000000000553,0.48216833095577744
71,32,2.648337110184727,46,4,PPP,0,0,0,1,450,250,250,0.1,10,0,323,607.9000000000015,0.33126934984520123
72,58,2.553969458982572,100,22,PPP,0,0,0,1,100,450,250,0.1,10,0,409,-3763.700000000077,0.3569682151589242
73,41,1.9016523059403836,58,17,PPP,0,0,0,1,150,450,200,0.1,10,0,579,-6521.400000000103,0.46286701208981
74,56,2.5656870792433457,85,24,PPP,0,0,0,1,300,150,100,0.1,10,0,401,-4611.300000000148,0.47381546134663344
75,41,1.0371745925215716,66,5,PPP,0,0,0,1,300,200,100,0.1,10,0,1131,-3137.4000000000306,0.44916003536693194
