no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,37,2.9769275679347325,43,30,PPP,0,0,0,1,300,250,200,0.1,10,0,294,394.0,0.48639455782312924
1,31,2.3563859826554547,70,40,PPP,0,0,0,1,150,150,200,0.1,10,0,393,-1925.0,0.4300254452926209
2,88,2.5530376491142905,63,49,PPP,0,0,0,1,500,300,100,0.1,10,0,327,-6055.0,0.5198776758409785
3,69,3.0787896692812264,40,34,PPP,0,0,0,1,450,250,250,0.1,10,0,274,8288.0,0.5072992700729927
4,33,3.089961934841159,85,45,PPP,0,0,0,1,100,450,150,0.1,10,0,276,3467.0,0.286231884057971
5,14,1.4351871014232522,71,34,PPP,0,0,0,1,450,250,250,0.1,10,0,685,-4368.0,0.5021897810218978
6,16,2.979270755936284,91,36,PPP,0,0,0,1,100,500,150,0.1,10,0,310,4475.0,0.31290322580645163
7,98,1.2621472006657872,46,40,PPP,0,0,0,1,200,250,200,0.1,10,0,651,2061.0,0.4700460829493088
8,11,3.3962033158179548,33,41,PPP,0,0,0,1,450,450,150,0.1,10,0,261,7301.0,0.5210727969348659
9,21,2.2211382410558786,57,36,PPP,0,0,0,1,100,100,250,0.1,10,0,439,-487.0,0.36674259681093396
10,13,2.954974332527716,14,4,PPP,0,0,0,1,50,50,250,0.1,10,0,260,-3351.0,0.2076923076923077
11,37,2.9039808857195815,44,40,PPP,0,0,0,1,100,500,50,0.1,10,0,296,5681.0,0.34459459459459457
12,69,0.8922254249422253,10,41,PPP,0,0,0,1,400,450,100,0.1,10,0,788,704.0,0.5456852791878173
13,96,2.4318464643226143,62,12,PPP,0,0,0,1,450,150,250,0.1,10,0,364,-3288.0,0.45879120879120877
14,92,3.352651635440324,59,8,PPP,0,0,0,1,450,150,150,0.1,10,0,218,698.0,0.42660550458715596
15,21,0.8905998039492353,11,21,PPP,0,0,0,1,500,250,100,0.1,10,0,1140,4386.0,0.5394736842105263
16,75,2.1728978085991857,96,41,PPP,0,0,0,1,150,100,50,0.1,10,0,413,304.0,0.4188861985472155
17,62,1.085408041140202,90,37,PPP,0,0,0,1,50,500,50,0.1,10,0,764,2088.0,0.27225130890052357
18,83,3.1382093115401815,13,8,PPP,0,0,0,1,400,100,100,0.1,10,0,230,4849.0,0.48695652173913045
19,87,1.2113279580641394,11,45,PPP,0,0,0,1,500,100,100,0.1,10,0,645,3330.0,0.5209302325581395
20,76,1.8908696145200998,16,9,PPP,0,0,0,1,500,200,150,0.1,10,0,521,2272.0,0.45297504798464494
21,68,2.8643593668619522,58,10,PPP,0,0,0,1,400,150,200,0.1,10,0,270,-619.0,0.45185185185185184
22,50,0.546507479526519,55,13,PPP,0,0,0,1,450,100,150,0.1,10,0,1865,3257.0,0.5270777479892761
23,65,1.433630382541097,92,26,PPP,0,0,0,1,500,500,200,0.1,10,0,706,-556.0,0.5169971671388102
24,58,2.4316462523731666,36,23,PPP,0,0,0,1,400,150,50,0.1,10,0,396,4126.0,0.5126262626262627
25,52,3.3558255178935212,48,50,PPP,0,0,0,1,200,350,50,0.1,10,0,242,-3683.0,0.384297520661157
26,30,0.678043171202011,99,39,PPP,0,0,0,1,150,150,200,0.1,10,0,904,3966.0,0.48451327433628316
27,95,2.2574336616407678,99,26,PPP,0,0,0,1,250,250,100,0.1,10,0,443,627.0,0.4604966139954853
28,100,1.5943404805846013,86,37,PPP,0,0,0,1,300,350,200,0.1,10,0,571,2467.0,0.5096322241681261
29,36,2.425943266930529,63,27,PPP,0,0,0,1,300,400,150,0.1,10,0,395,-10297.0,0.43544303797468353
30,87,1.4478118166319303,10,41,PPP,0,0,0,1,200,50,200,0.1,10,0,593,5479.0,0.4957841483979764
31,33,2.2248936374079986,31,29,PPP,0,0,0,1,450,150,100,0.1,10,0,445,459.0,0.5191011235955056
32,62,2.6683174998296466,50,29,PPP,0,0,0,1,50,200,100,0.1,10,0,340,-923.0,0.22647058823529412
33,56,2.984685717894453,46,9,PPP,0,0,0,1,50,250,200,0.1,10,0,244,-3088.0,0.14754098360655737
34,44,3.0251637062067283,84,43,PPP,0,0,0,1,500,400,100,0.1,10,0,280,131.0,0.5071428571428571
35,67,0.8465599031830368,37,38,PPP,0,0,0,1,450,250,50,0.1,10,0,836,1169.0,0.55622009569378
36,96,3.33628345254556,45,19,PPP,0,0,0,1,300,500,200,0.1,10,0,238,-959.0,0.3907563025210084
37,64,0.8103068551729378,95,45,PPP,0,0,0,1,150,450,200,0.1,10,0,780,5387.0,0.4653846153846154
38,80,0.557535937113579,31,23,PPP,0,0,0,1,150,400,250,0.1,10,0,1331,-2711.0,0.47783621337340343
39,53,0.8908578240617577,38,32,PPP,0,0,0,1,350,500,200,0.1,10,0,916,6351.0,0.5349344978165939
40,73,3.388749271974791,53,13,PPP,0,0,0,1,300,150,250,0.1,10,0,218,-446.0,0.41743119266055045
41,20,0.7086154344360546,50,4,PPP,0,0,0,1,50,200,150,0.1,10,0,1510,-1957.0,0.2675496688741722
42,24,2.3123352340912255,32,45,PPP,0,0,0,1,50,250,150,0.1,10,0,395,871.0,0.23037974683544304
43,35,1.9611525468114062,95,37,PPP,0,0,0,1,50,500,200,0.1,10,0,501,-1276.0,0.25748502994011974
44,50,3.4129222313712533,13,27,PPP,0,0,0,1,450,350,50,0.1,10,0,244,-609.0,0.4262295081967213
45,17,2.642475065065409,58,45,PPP,0,0,0,1,300,300,50,0.1,10,0,336,-727.0,0.4880952380952381
