no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,31,1.3622967954627545,32,10,supertrend,0,0,0,1,50,350,100,0.1,10,0,811,129.0,0.2934648581997534
1,20,2.0869387191233826,97,27,supertrend,0,0,0,1,350,500,150,0.1,10,0,495,3512.0,0.5252525252525253
2,30,1.0483533289666673,49,48,supertrend,0,0,0,1,500,500,50,0.1,10,0,634,-2229.0,0.5189274447949527
3,95,1.5519875504055811,53,43,supertrend,0,0,0,1,200,450,50,0.1,10,0,527,1355.0,0.4629981024667932
4,40,1.2301153309007682,11,14,supertrend,0,0,0,1,300,50,50,0.1,10,0,911,4304.0,0.5104281009879253
5,58,1.9199862985756893,49,33,supertrend,0,0,0,1,450,150,100,0.1,10,0,483,-1314.0,0.4968944099378882
6,76,2.1925236320145425,32,17,supertrend,0,0,0,1,50,50,150,0.1,10,0,433,-801.0,0.3094688221709007
7,89,1.9536241168587174,44,42,supertrend,0,0,0,1,350,50,100,0.1,10,0,435,823.0,0.5172413793103449
8,33,1.536309482474931,64,36,supertrend,0,0,0,1,450,300,150,0.1,10,0,587,-6831.0,0.5178875638841567
9,99,1.3262930020134518,68,6,supertrend,0,0,0,1,400,450,200,0.1,10,0,760,5826.0,0.42894736842105263
10,26,3.0078231653621543,80,18,supertrend,0,0,0,1,300,400,100,0.1,10,0,254,1189.0,0.4409448818897638
11,82,2.1866828892036723,14,13,supertrend,0,0,0,1,250,500,100,0.1,10,0,419,3315.0,0.43675417661097854
12,41,1.469411236006601,86,24,supertrend,0,0,0,1,250,200,200,0.1,10,0,695,-1380.0,0.5035971223021583
13,96,1.2632304208043696,49,6,supertrend,0,0,0,1,450,350,150,0.1,10,0,818,2540.0,0.4180929095354523
14,17,2.3854293745099167,19,36,supertrend,0,0,0,1,400,50,100,0.1,10,0,403,-7319.0,0.45161290322580644
15,21,3.157044126618422,33,4,supertrend,0,0,0,1,500,50,100,0.1,10,0,222,-2381.0,0.45045045045045046
16,62,1.7126861609591464,49,16,supertrend,0,0,0,1,250,400,200,0.1,10,0,607,-277.0,0.4645799011532125
17,41,2.1166213755127465,30,28,supertrend,0,0,0,1,100,200,200,0.1,10,0,461,256.0,0.38611713665943603
18,42,1.76533053388853,16,15,supertrend,0,0,0,1,300,400,100,0.1,10,0,595,-6232.0,0.4403361344537815
19,21,0.9526600755670741,97,33,supertrend,0,0,0,1,450,150,100,0.1,10,0,841,-3880.0,0.5184304399524375
20,78,1.0673031959016908,80,38,supertrend,0,0,0,1,50,100,250,0.1,10,0,715,2861.0,0.35104895104895106
21,19,0.5304974694939263,69,44,supertrend,0,0,0,1,100,400,150,0.1,10,0,917,-1257.0,0.44601962922573607
