no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown
38,66,1.9261208077183671,14,17,supertrend,0,0,0,1,250,300,150,0.1,2,0,1449,14321.0,0.45962732919254656,-27774.399999999994
5,98,3.35503675874443,94,16,supertrend,0,0,0,1,450,450,150,0.1,2,0,574,14301.0,0.4547038327526132,-23071.4
14,47,2.894407974581001,56,9,supertrend,0,0,0,1,500,400,100,0.1,2,0,670,13273.0,0.4059701492537313,-28627.6
7,31,3.445125991988827,79,20,supertrend,0,0,0,1,300,500,100,0.1,2,0,574,12458.0,0.40418118466898956,-17847.199999999997
26,91,1.574534044857195,30,11,supertrend,0,0,0,1,350,300,200,0.1,2,0,1865,12146.0,0.47828418230563,-41947.8
33,70,3.2699113231808905,19,40,supertrend,0,0,0,1,350,350,150,0.1,2,0,660,12137.0,0.4803030303030303,-16857.600000000002
39,48,2.2239671248663435,29,20,supertrend,0,0,0,1,150,250,100,0.1,2,0,1183,11708.0,0.36517328825021134,-25746.199999999997
31,38,3.286304708305825,97,37,supertrend,0,0,0,1,350,450,200,0.1,2,0,660,11227.0,0.46060606060606063,-18810.800000000003
49,95,2.970101477152192,67,14,supertrend,0,0,0,1,500,250,50,0.1,2,0,694,11092.0,0.4654178674351585,-20137.4
34,12,3.3643251394073523,75,17,supertrend,0,0,0,1,300,500,50,0.1,2,0,534,11087.0,0.3595505617977528,-17823.8
28,60,2.0318782045910497,12,27,supertrend,0,0,0,1,200,500,50,0.1,2,0,1303,10951.0,0.39447429009976975,-20386.8
17,70,3.4948651544408915,11,25,supertrend,0,0,0,1,500,500,150,0.1,2,0,582,10949.0,0.4742268041237113,-24598.399999999998
6,36,3.4171625305261006,84,24,supertrend,0,0,0,1,500,500,150,0.1,2,0,598,9597.0,0.47324414715719065,-18904.800000000003
8,30,3.2173136189966742,28,28,supertrend,0,0,0,1,250,300,50,0.1,2,0,680,9322.0,0.4102941176470588,-14284.2
24,21,3.488692494112751,82,26,supertrend,0,0,0,1,350,250,100,0.1,2,0,604,9321.0,0.4552980132450331,-14963.200000000004
4,36,3.224831337271847,28,24,supertrend,0,0,0,1,400,500,100,0.1,2,0,652,8522.0,0.44171779141104295,-24742.8
