no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,72,3.1904585188032963,16,5,supertrend,0,0,0,1,225,200,75,0.1,2,0,7100,7091.399999999804,0.3750704225352113,-2499.8200000000775,887 days 15:05:00
1,73,0.7255714855717785,89,5,supertrend,0,0,0,1,225,225,50,0.1,2,0,50318,-2460.900000000376,0.4578282125680671,-8203.440000000168,1355 days 21:15:00
2,76,0.8248587990108521,16,5,supertrend,0,0,0,1,200,75,25,0.1,2,0,43444,1540.799999999872,0.44933707761716235,-3618.5100000000675,826 days 04:40:00
3,75,1.0768393586011822,65,41,supertrend,0,0,0,1,50,50,50,0.1,2,0,21325,596.4000000000551,0.5153575615474795,-4375.68999999994,1491 days 20:35:00
4,92,3.0305894048755,41,6,supertrend,0,0,0,1,75,75,50,0.1,2,0,7840,12706.399999999934,0.39285714285714285,-12.009999999981664,587 days 18:10:00
5,67,2.7994238524615795,100,5,supertrend,0,0,0,1,100,100,25,0.1,2,0,8456,12048.099999999979,0.3818590350047304,-1053.5599999999909,347 days 15:10:00
6,88,2.0834816213027563,46,6,supertrend,0,0,0,1,175,75,25,0.1,2,0,13388,11275.99999999972,0.4123095309232148,-28.55999999999822,824 days 20:55:00
7,37,0.5402212895157925,72,7,supertrend,0,0,0,1,100,175,25,0.1,2,0,69945,6849.399999999766,0.5099006362141683,-1336.3900000000106,1418 days 19:15:00
8,56,2.41268394992892,23,6,supertrend,0,0,0,1,250,200,125,0.1,2,0,10514,10697.100000000068,0.39261936465664826,-1270.6999999999846,374 days 18:55:00
9,83,3.2412911913162414,97,6,supertrend,0,0,0,1,125,50,100,0.1,2,0,7045,9174.099999999846,0.41802696948190204,192.76999999998807,617 days 18:40:00
10,94,0.8908682531265072,17,7,supertrend,0,0,0,1,125,125,50,0.1,2,0,43176,-7639.5999999996475,0.4793172132666296,-12281.449999999573,651 days 22:15:00
11,28,1.1282087456613878,19,12,supertrend,0,0,0,1,50,250,125,0.1,2,0,33028,5174.500000000096,0.4904929151023374,-216.6500000000051,587 days 14:20:00
12,63,3.273878862865018,81,5,supertrend,0,0,0,1,150,50,25,0.1,2,0,6818,5421.199999999898,0.4070108536227633,-1615.5400000000286,1024 days 23:40:00
13,84,3.106839298937035,22,7,supertrend,0,0,0,1,175,150,75,0.1,2,0,7583,13135.699999999912,0.3970723987867599,306.7699999999924,525 days 03:20:00
14,48,2.5841549520210236,55,5,supertrend,0,0,0,1,50,150,50,0.1,2,0,9288,12487.29999999979,0.3536821705426357,-429.17999999999745,578 days 17:55:00
15,41,1.9296246989351922,50,33,supertrend,0,0,0,1,50,175,100,0.1,2,0,15165,13093.099999999886,0.486646884272997,-1580.1899999999673,417 days 18:20:00
16,64,1.1519373356259113,62,9,supertrend,0,0,0,1,200,100,50,0.1,2,0,32172,-8454.099999999422,0.4809150814372746,-12839.489999999494,521 days 17:10:00
17,13,3.0582746970061283,94,25,supertrend,0,0,0,1,100,125,100,0.1,2,0,8190,-196.0999999999931,0.4559218559218559,-4876.33000000001,571 days 00:05:00
