no,p1.n_bo,p1.window,p1.term_max,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,2,24,96,supertrend,0,0,0,1,150,400,150,0.1,10,0,584,-36809.0,0.14726027397260275,-39518.0,90 days 05:45:00
1,2,24,96,supertrend,0,0,0,1,400,150,100,0.1,10,0,584,-48184.0,0.3219178082191781,-50605.6,66 days 12:00:00
2,2,24,96,supertrend,0,0,0,1,150,350,200,0.1,10,0,584,-36642.0,0.15753424657534246,-39351.0,97 days 04:15:00
3,2,24,96,supertrend,0,0,0,1,500,200,100,0.1,10,0,584,-63530.0,0.3116438356164384,-67101.9,48 days 07:45:00
4,2,24,96,supertrend,0,0,0,1,50,450,100,0.1,10,0,584,-12515.0,0.06506849315068493,-12290.0,228 days 10:30:00
5,2,24,96,supertrend,0,0,0,1,150,400,200,0.1,10,0,584,-36860.0,0.14726027397260275,-39569.0,90 days 05:45:00
6,2,24,96,supertrend,0,0,0,1,50,300,200,0.1,10,0,584,-11937.0,0.0839041095890411,-11712.0,405 days 21:15:00
7,2,24,96,supertrend,0,0,0,1,200,200,50,0.1,10,0,584,-55522.0,0.2226027397260274,-58006.0,21 days 03:30:00
8,2,24,96,supertrend,0,0,0,1,250,250,200,0.1,10,0,571,-67530.0,0.22942206654991243,-71323.0,34 days 15:30:00
9,2,24,96,supertrend,0,0,0,1,200,350,200,0.1,10,0,584,-51702.0,0.1832191780821918,-54186.0,73 days 23:00:00
10,2,24,96,supertrend,0,0,0,1,300,150,250,0.1,10,0,584,-49368.0,0.2893835616438356,-51829.2,70 days 09:45:00
11,2,24,96,supertrend,0,0,0,1,400,500,250,0.1,10,0,492,-95344.0,0.20934959349593496,-99167.6,47 days 09:00:00
12,2,24,96,supertrend,0,0,0,1,300,150,150,0.1,10,0,584,-49762.0,0.2910958904109589,-52223.2,65 days 21:00:00
13,2,24,96,supertrend,0,0,0,1,400,500,150,0.1,10,0,492,-95344.0,0.20934959349593496,-99167.6,47 days 09:00:00
14,2,24,96,supertrend,0,0,0,1,50,450,100,0.1,10,0,584,-12515.0,0.06506849315068493,-12290.0,228 days 10:30:00
15,2,24,96,supertrend,0,0,0,1,400,100,200,0.1,10,0,584,-31883.0,0.363013698630137,-34716.4,113 days 22:30:00
16,2,24,96,supertrend,0,0,0,1,250,200,200,0.1,10,0,584,-60799.0,0.25,-64663.5,38 days 23:00:00
17,2,24,96,supertrend,0,0,0,1,350,350,100,0.1,10,0,539,-90372.0,0.22448979591836735,-94410.6,47 days 09:00:00
18,2,24,96,supertrend,0,0,0,1,400,350,250,0.1,10,0,529,-95113.0,0.2381852551984877,-98936.6,42 days 22:15:00
19,2,24,96,supertrend,0,0,0,1,150,250,50,0.1,10,0,584,-38571.0,0.1797945205479452,-41280.0,35 days 23:30:00
20,2,24,96,supertrend,0,0,0,1,350,500,250,0.1,10,0,539,-90233.0,0.20408163265306123,-94271.6,53 days 22:45:00
21,2,24,96,supertrend,0,0,0,1,250,100,200,0.1,10,0,584,-33172.0,0.3236301369863014,-36095.4,70 days 22:45:00
22,2,24,96,supertrend,0,0,0,1,100,450,100,0.1,10,0,584,-27241.0,0.10445205479452055,-26791.0,121 days 08:15:00
23,2,24,96,supertrend,0,0,0,1,200,300,150,0.1,10,0,584,-52277.0,0.1969178082191781,-54761.0,29 days 02:15:00
24,2,24,96,supertrend,0,0,0,1,450,50,250,0.1,10,0,584,-23126.0,0.4041095890410959,-22690.7,134 days 15:45:00
25,2,24,96,supertrend,0,0,0,1,100,300,100,0.1,10,0,584,-26711.0,0.13013698630136986,-26261.0,112 days 14:15:00
26,2,24,96,supertrend,0,0,0,1,200,100,200,0.1,10,0,584,-34102.0,0.2996575342465753,-37055.4,71 days 10:15:00
27,2,24,96,supertrend,0,0,0,1,400,300,50,0.1,10,0,545,-87966.0,0.24954128440366974,-91905.5,34 days 04:30:00
28,2,24,96,supertrend,0,0,0,1,300,300,50,0.1,10,0,571,-82811.0,0.22416812609457093,-86396.1,42 days 00:15:00
29,2,24,96,supertrend,0,0,0,1,350,450,100,0.1,10,0,539,-90387.0,0.2077922077922078,-94425.6,50 days 08:00:00
30,2,24,96,supertrend,0,0,0,1,100,500,150,0.1,10,0,584,-27805.0,0.09931506849315068,-27355.0,183 days 16:45:00
31,2,24,96,supertrend,0,0,0,1,150,50,250,0.1,10,0,584,-22510.0,0.3321917808219178,-22248.4,67 days 12:45:00
32,2,24,96,supertrend,0,0,0,1,500,300,100,0.1,10,0,543,-88869.0,0.26519337016574585,-92805.8,41 days 21:30:00
33,2,24,96,supertrend,0,0,0,1,450,150,150,0.1,10,0,584,-48163.0,0.3304794520547945,-50554.6,62 days 02:45:00
34,2,24,96,supertrend,0,0,0,1,300,500,200,0.1,10,0,571,-84456.0,0.18563922942206654,-88037.3,54 days 12:15:00
35,2,24,96,supertrend,0,0,0,1,450,450,150,0.1,10,0,416,-92572.0,0.21394230769230768,-96180.6,35 days 04:15:00
36,2,24,96,supertrend,0,0,0,1,100,150,100,0.1,10,0,584,-28777.0,0.1797945205479452,-28327.0,104 days 10:45:00
37,2,24,96,supertrend,0,0,0,1,450,200,250,0.1,10,0,584,-62812.0,0.3047945205479452,-66414.3,74 days 12:00:00
38,2,24,96,supertrend,0,0,0,1,450,500,100,0.1,10,0,416,-92640.0,0.2091346153846154,-96248.6,43 days 12:15:00
39,2,24,96,supertrend,0,0,0,1,250,500,50,0.1,10,0,571,-66769.0,0.1733800350262697,-70562.0,72 days 02:30:00
40,2,24,96,supertrend,0,0,0,1,300,250,250,0.1,10,0,571,-76791.0,0.23992994746059546,-80372.3,30 days 11:15:00
41,2,24,96,supertrend,0,0,0,1,250,250,150,0.1,10,0,571,-67470.0,0.22942206654991243,-71263.0,37 days 13:15:00
42,2,24,96,supertrend,0,0,0,1,500,150,250,0.1,10,0,584,-46724.0,0.3373287671232877,-49168.4,69 days 02:45:00
43,2,24,96,supertrend,0,0,0,1,200,350,200,0.1,10,0,584,-51702.0,0.1832191780821918,-54186.0,73 days 23:00:00
44,2,24,96,supertrend,0,0,0,1,350,250,150,0.1,10,0,568,-73768.0,0.2623239436619718,-77874.7,30 days 11:30:00
45,2,24,96,supertrend,0,0,0,1,450,300,200,0.1,10,0,544,-89497.0,0.2555147058823529,-93391.1,37 days 00:15:00
46,2,24,96,supertrend,0,0,0,1,50,500,250,0.1,10,0,584,-11813.0,0.06335616438356165,-11588.0,255 days 12:45:00
47,2,24,96,supertrend,0,0,0,1,100,50,150,0.1,10,0,584,-21505.0,0.2825342465753425,-21256.8,81 days 22:30:00
48,2,24,96,supertrend,0,0,0,1,50,150,200,0.1,10,0,584,-11483.0,0.13184931506849315,-11258.0,180 days 14:00:00
49,2,24,96,supertrend,0,0,0,1,100,350,250,0.1,10,0,584,-25430.0,0.12157534246575342,-24980.0,149 days 10:45:00
50,2,24,96,supertrend,0,0,0,1,100,250,200,0.1,10,0,584,-28610.0,0.136986301369863,-28160.0,111 days 09:45:00
51,2,24,96,supertrend,0,0,0,1,300,250,150,0.1,10,0,571,-76810.0,0.23992994746059546,-80391.3,30 days 11:30:00
52,2,24,96,supertrend,0,0,0,1,250,150,250,0.1,10,0,584,-47401.0,0.2791095890410959,-49922.2,70 days 09:45:00
53,2,24,96,supertrend,0,0,0,1,400,150,150,0.1,10,0,584,-47947.0,0.3219178082191781,-50368.6,74 days 12:00:00
54,2,24,96,supertrend,0,0,0,1,250,200,150,0.1,10,0,584,-60739.0,0.25,-64603.5,47 days 01:45:00
55,2,24,96,supertrend,0,0,0,1,50,350,50,0.1,10,0,584,-11327.0,0.07534246575342465,-11102.0,535 days 08:30:00
56,2,24,96,supertrend,0,0,0,1,400,400,250,0.1,10,0,492,-94818.0,0.22357723577235772,-98641.6,40 days 23:00:00
57,2,24,96,supertrend,0,0,0,1,100,450,200,0.1,10,0,584,-27241.0,0.10445205479452055,-26791.0,121 days 08:15:00
58,2,24,96,supertrend,0,0,0,1,100,250,150,0.1,10,0,584,-28610.0,0.136986301369863,-28160.0,111 days 09:45:00
59,2,24,96,supertrend,0,0,0,1,300,100,150,0.1,10,0,584,-34438.0,0.3339041095890411,-37331.4,70 days 21:45:00
60,2,24,96,supertrend,0,0,0,1,100,150,100,0.1,10,0,584,-28777.0,0.1797945205479452,-28327.0,104 days 10:45:00
61,2,24,96,supertrend,0,0,0,1,50,500,200,0.1,10,0,584,-11813.0,0.06335616438356165,-11588.0,255 days 12:45:00
62,2,24,96,supertrend,0,0,0,1,100,200,250,0.1,10,0,584,-29511.0,0.1506849315068493,-29061.0,104 days 12:45:00
63,2,24,96,supertrend,0,0,0,1,500,400,150,0.1,10,0,459,-95517.0,0.2374727668845316,-99203.1,75 days 05:15:00
64,2,24,96,supertrend,0,0,0,1,200,250,200,0.1,10,0,584,-54441.0,0.2089041095890411,-56925.0,22 days 03:45:00
65,2,24,96,supertrend,0,0,0,1,250,500,100,0.1,10,0,571,-67041.0,0.1733800350262697,-70834.0,72 days 02:30:00
66,2,24,96,supertrend,0,0,0,1,100,50,200,0.1,10,0,584,-21440.0,0.2825342465753425,-21191.8,81 days 22:30:00
67,2,24,96,supertrend,0,0,0,1,50,200,100,0.1,10,0,584,-13273.0,0.09931506849315068,-13048.0,220 days 14:15:00
68,2,24,96,supertrend,0,0,0,1,450,350,150,0.1,10,0,527,-97559.0,0.24478178368121442,-101294.8,47 days 08:45:00
69,2,24,96,supertrend,0,0,0,1,200,500,100,0.1,10,0,584,-52203.0,0.16095890410958905,-54687.0,88 days 00:30:00
70,2,24,96,supertrend,0,0,0,1,450,200,50,0.1,10,0,584,-65363.0,0.3030821917808219,-68882.5,45 days 20:45:00
71,2,24,96,supertrend,0,0,0,1,500,200,50,0.1,10,0,584,-65132.0,0.3116438356164384,-68703.9,40 days 12:30:00
72,2,24,96,supertrend,0,0,0,1,50,500,150,0.1,10,0,584,-11813.0,0.06335616438356165,-11588.0,255 days 12:45:00
73,2,24,96,supertrend,0,0,0,1,500,150,100,0.1,10,0,584,-47919.0,0.339041095890411,-50280.6,65 days 04:15:00
74,2,24,96,supertrend,0,0,0,1,500,250,50,0.1,10,0,568,-77270.0,0.2904929577464789,-81224.2,61 days 15:15:00
75,2,24,96,supertrend,0,0,0,1,150,150,250,0.1,10,0,584,-40277.0,0.22945205479452055,-42986.0,49 days 15:45:00
76,2,24,96,supertrend,0,0,0,1,200,300,250,0.1,10,0,584,-52277.0,0.1969178082191781,-54761.0,29 days 02:15:00
77,2,24,96,supertrend,0,0,0,1,250,500,200,0.1,10,0,571,-67050.0,0.1733800350262697,-70843.0,72 days 02:30:00
78,2,24,96,supertrend,0,0,0,1,500,400,150,0.1,10,0,459,-95517.0,0.2374727668845316,-99203.1,75 days 05:15:00
79,2,24,96,supertrend,0,0,0,1,500,300,250,0.1,10,0,543,-88550.0,0.26519337016574585,-92486.8,41 days 21:30:00
80,2,24,96,supertrend,0,0,0,1,200,500,250,0.1,10,0,584,-52212.0,0.16095890410958905,-54696.0,88 days 00:30:00
81,2,24,96,supertrend,0,0,0,1,400,450,250,0.1,10,0,492,-95479.0,0.21341463414634146,-99302.6,43 days 12:15:00
82,2,24,96,supertrend,0,0,0,1,500,350,150,0.1,10,0,526,-96717.0,0.25475285171102663,-100499.4,37 days 00:15:00
83,2,24,96,supertrend,0,0,0,1,400,350,100,0.1,10,0,529,-95087.0,0.2381852551984877,-98910.6,42 days 22:15:00
84,2,24,96,supertrend,0,0,0,1,450,150,250,0.1,10,0,584,-47305.0,0.3287671232876712,-49779.4,65 days 21:00:00
85,2,24,96,supertrend,0,0,0,1,200,450,150,0.1,10,0,584,-52116.0,0.1643835616438356,-54600.0,84 days 12:45:00
86,2,24,96,supertrend,0,0,0,1,250,100,50,0.1,10,0,584,-35274.0,0.3184931506849315,-38076.8,82 days 04:45:00
87,2,24,96,supertrend,0,0,0,1,450,400,50,0.1,10,0,431,-90192.0,0.22273781902552203,-93864.8,35 days 04:15:00
88,2,24,96,supertrend,0,0,0,1,200,450,50,0.1,10,0,584,-51517.0,0.1643835616438356,-54001.0,84 days 12:45:00
89,2,24,96,supertrend,0,0,0,1,250,300,150,0.1,10,0,571,-65718.0,0.21541155866900175,-69511.0,43 days 20:30:00
90,2,24,96,supertrend,0,0,0,1,50,350,150,0.1,10,0,584,-11526.0,0.07534246575342465,-11301.0,538 days 13:45:00
91,2,24,96,supertrend,0,0,0,1,200,50,250,0.1,10,0,584,-23764.0,0.351027397260274,-23478.7,73 days 02:15:00
92,2,24,96,supertrend,0,0,0,1,450,50,100,0.1,10,0,584,-23703.0,0.4041095890410959,-23256.9,77 days 21:15:00
93,2,24,96,supertrend,0,0,0,1,200,50,200,0.1,10,0,584,-23881.0,0.351027397260274,-23595.7,73 days 02:15:00
94,2,24,96,supertrend,0,0,0,1,500,300,200,0.1,10,0,543,-88550.0,0.26519337016574585,-92486.8,41 days 21:30:00
95,2,24,96,supertrend,0,0,0,1,450,50,200,0.1,10,0,584,-23156.0,0.4041095890410959,-22720.7,134 days 15:45:00
96,2,24,96,supertrend,0,0,0,1,350,350,150,0.1,10,0,539,-90398.0,0.22448979591836735,-94436.6,47 days 09:00:00
97,2,24,96,supertrend,0,0,0,1,300,400,50,0.1,10,0,571,-82976.0,0.1978984238178634,-86561.1,43 days 12:00:00
98,2,24,96,supertrend,0,0,0,1,500,450,50,0.1,10,0,399,-92922.0,0.22556390977443608,-96418.7,35 days 03:45:00
99,2,24,96,supertrend,0,0,0,1,300,350,200,0.1,10,0,571,-82949.0,0.21015761821366025,-86530.3,50 days 08:00:00
100,2,24,96,supertrend,0,0,0,1,300,250,150,0.1,10,0,571,-76810.0,0.23992994746059546,-80391.3,30 days 11:30:00
101,2,24,96,supertrend,0,0,0,1,450,100,200,0.1,10,0,584,-32696.0,0.3681506849315068,-35499.4,97 days 16:00:00
102,2,24,96,supertrend,0,0,0,1,50,400,100,0.1,10,0,584,-12485.0,0.06678082191780822,-12260.0,231 days 12:30:00
103,2,24,96,supertrend,0,0,0,1,200,350,250,0.1,10,0,584,-51702.0,0.1832191780821918,-54186.0,73 days 23:00:00
104,2,24,96,supertrend,0,0,0,1,200,400,100,0.1,10,0,584,-51871.0,0.17123287671232876,-54355.0,56 days 11:45:00
105,2,24,96,supertrend,0,0,0,1,450,50,100,0.1,10,0,584,-23703.0,0.4041095890410959,-23256.9,77 days 21:15:00
106,2,24,96,supertrend,0,0,0,1,400,300,250,0.1,10,0,545,-87376.0,0.24954128440366974,-91307.9,41 days 00:45:00
107,2,24,96,supertrend,0,0,0,1,350,250,100,0.1,10,0,568,-74093.0,0.2623239436619718,-78199.7,30 days 13:15:00
108,2,24,96,supertrend,0,0,0,1,200,450,150,0.1,10,0,584,-52116.0,0.1643835616438356,-54600.0,84 days 12:45:00
109,2,24,96,supertrend,0,0,0,1,50,500,150,0.1,10,0,584,-11813.0,0.06335616438356165,-11588.0,255 days 12:45:00
110,2,24,96,supertrend,0,0,0,1,250,500,200,0.1,10,0,571,-67050.0,0.1733800350262697,-70843.0,72 days 02:30:00
111,2,24,96,supertrend,0,0,0,1,50,50,250,0.1,10,0,584,-13458.0,0.20376712328767124,-13233.0,56 days 06:00:00
112,2,24,96,supertrend,0,0,0,1,100,200,250,0.1,10,0,584,-29511.0,0.1506849315068493,-29061.0,104 days 12:45:00
113,2,24,96,supertrend,0,0,0,1,50,400,100,0.1,10,0,584,-12485.0,0.06678082191780822,-12260.0,231 days 12:30:00
