no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,77,2.884337858261038,69,50,supertrend,0,0,0,1,100,100,250,0.1,10,0,2783,2387.199999999979,0.41933165648580667,-5503.159999999972,1016 days 03:15:00
1,35,0.8453029892909271,34,13,supertrend,0,0,0,1,250,450,50,0.1,10,0,13211,4113.399999999681,0.519112860495042,-2478.3600000000747,906 days 09:30:00
2,55,3.0858338934258964,36,49,supertrend,0,0,0,1,200,400,150,0.1,10,0,2663,2319.500000000029,0.48516710476905744,-3509.600000000048,724 days 01:30:00
3,34,2.437656620261222,88,49,supertrend,0,0,0,1,300,400,250,0.1,10,0,3575,12605.100000000013,0.5359440559440559,-9129.839999999971,972 days 01:45:00
4,97,2.0399111019589156,20,12,supertrend,0,0,0,1,400,100,100,0.1,10,0,4706,-9386.199999999833,0.4785380365490863,-12190.439999999839,359 days 21:15:00
5,60,3.056866356117909,42,43,supertrend,0,0,0,1,100,350,250,0.1,10,0,2735,5464.39999999998,0.37806215722120656,-3245.1300000000224,960 days 03:15:00
6,96,1.7554826793214353,60,25,supertrend,0,0,0,1,250,500,100,0.1,10,0,5355,-1190.4999999998909,0.4980392156862745,-2640.6,959 days 13:15:00
7,68,0.6857887510986251,42,30,supertrend,0,0,0,1,400,300,200,0.1,10,0,9891,-2140.199999999899,0.5509048630067739,-12127.840000000073,1470 days 02:30:00
8,56,1.2061801441391573,100,40,supertrend,0,0,0,1,350,200,250,0.1,10,0,6415,11539.200000000012,0.5549493374902572,-5558.629999999966,755 days 08:00:00
9,68,0.6855950145538786,55,14,supertrend,0,0,0,1,400,400,200,0.1,10,0,14073,22312.00000000007,0.5313010729766219,-354.55,552 days 06:15:00
10,90,2.924819228294675,59,36,supertrend,0,0,0,1,350,100,50,0.1,10,0,2799,-196.19999999999345,0.519113969274741,-7203.75,1037 days 10:30:00
11,76,3.1750913644086003,12,15,supertrend,0,0,0,1,250,100,100,0.1,10,0,2664,4174.000000000084,0.47372372372372373,-901.05,567 days 04:00:00
12,33,0.6910223441072827,63,17,supertrend,0,0,0,1,500,500,50,0.1,10,0,13685,13367.300000000036,0.5351845085860432,-612.6,463 days 15:15:00
13,65,1.9443111003489542,24,14,supertrend,0,0,0,1,400,50,50,0.1,10,0,5430,19378.299999999894,0.5134438305709024,-495.25,661 days 21:45:00
14,10,2.4761934263961667,29,23,supertrend,0,0,0,1,500,50,250,0.1,10,0,3791,5564.499999999985,0.5088367185439198,-2130.319999999975,1167 days 20:30:00
15,79,1.062941351032159,86,29,supertrend,0,0,0,1,500,100,250,0.1,10,0,7855,-6029.700000000103,0.5299809038828771,-7835.140000000057,968 days 14:30:00
16,75,0.5305741947125154,98,31,supertrend,0,0,0,1,250,100,100,0.1,10,0,10819,6577.099999999929,0.5514372862556614,-9114.129999999965,1358 days 01:00:00
17,84,1.6339596351178218,33,17,supertrend,0,0,0,1,250,350,250,0.1,10,0,6317,4827.300000000159,0.49627987968972614,-3011.479999999944,1360 days 15:15:00
18,65,0.9515896067431697,97,26,supertrend,0,0,0,1,250,250,150,0.1,10,0,8915,2519.6999999997424,0.5406618059450364,-5174.360000000206,1413 days 00:15:00
19,51,0.6803568929399,30,15,supertrend,0,0,0,1,450,150,100,0.1,10,0,14043,19337.99999999976,0.5357829523606067,-850.95,335 days 17:15:00
20,74,0.580646451109431,35,13,supertrend,0,0,0,1,500,300,200,0.1,10,0,16017,28835.59999999976,0.5341824311668851,-1044.5,376 days 06:00:00
21,79,2.688880368891339,23,16,supertrend,0,0,0,1,150,200,50,0.1,10,0,3395,563.000000000131,0.4223858615611193,-4304.4599999999655,871 days 01:00:00
22,89,2.806491969094809,38,26,supertrend,0,0,0,1,400,200,100,0.1,10,0,3087,-1208.9000000001324,0.49627470035633303,-13318.019999999957,1440 days 03:00:00
23,39,1.843669138766371,76,16,supertrend,0,0,0,1,350,450,50,0.1,10,0,5861,19442.599999999795,0.5036683159870329,-950.75,463 days 19:00:00
24,77,1.497772848722236,73,39,supertrend,0,0,0,1,150,250,50,0.1,10,0,5455,12039.299999999981,0.49642529789184237,-5783.590000000004,988 days 20:00:00
25,13,3.358299857213,50,33,supertrend,0,0,0,1,350,50,150,0.1,10,0,2449,-4512.999999999909,0.5038791343405472,-7717.499999999879,1056 days 16:30:00
26,14,1.2150556925049578,78,44,supertrend,0,0,0,1,400,350,50,0.1,10,0,6431,2896.499999999898,0.5526356709687451,-11223.16999999995,1317 days 19:15:00
27,45,2.4185679700315013,51,16,supertrend,0,0,0,1,350,500,150,0.1,10,0,4083,7095.700000000092,0.48444771001714426,-1953.1999999998884,1232 days 03:15:00
28,44,2.6827083344479057,66,11,supertrend,0,0,0,1,400,50,50,0.1,10,0,3326,9870.799999999937,0.5066145520144317,-147.25,436 days 16:30:00
29,24,2.1080270613036642,72,6,supertrend,0,0,0,1,500,150,100,0.1,10,0,3868,15183.099999999959,0.41468459152016546,75.55,805 days 04:45:00
30,22,3.2126966322713577,86,20,supertrend,0,0,0,1,450,100,250,0.1,10,0,2334,6082.399999999947,0.5051413881748072,-3364.8,732 days 16:00:00
31,53,2.9159078753538976,51,43,supertrend,0,0,0,1,250,200,100,0.1,10,0,2935,-1993.9999999999745,0.5039182282793867,-6364.820000000046,977 days 05:15:00
32,20,1.952587351586953,23,15,supertrend,0,0,0,1,450,100,50,0.1,10,0,5163,6187.899999999776,0.49661049777261285,-2504.8,1324 days 05:15:00
33,71,2.9075564601911057,44,16,supertrend,0,0,0,1,450,300,50,0.1,10,0,3077,3852.300000000054,0.4569385765355866,-725.1099999999693,857 days 04:00:00
34,59,0.6197532669023168,15,48,supertrend,0,0,0,1,450,500,250,0.1,10,0,8031,4353.1000000000095,0.5724069231727058,-8875.660000000073,1055 days 14:00:00
35,95,0.9668809776720008,55,29,supertrend,0,0,0,1,300,450,250,0.1,10,0,8273,4490.899999999961,0.5456303638341593,-3626.85,476 days 00:30:00
36,28,1.439580735837242,28,35,supertrend,0,0,0,1,200,50,200,0.1,10,0,6249,3905.399999999896,0.5184829572731637,-3775.980000000012,790 days 08:15:00
37,90,2.2810136540968595,54,21,supertrend,0,0,0,1,200,450,200,0.1,10,0,4115,10526.200000000117,0.47144592952612396,-2080.4,756 days 06:30:00
