no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,99,1.306234464151589,86,17,supertrend,0,0,0,1,100,50,200,0.1,10,0,8318,10.843999999999998,0.5207982688146189,-1.6498999999999686,331 days 16:00:00
1,66,3.277100565977246,16,18,supertrend,0,0,0,1,200,50,200,0.1,10,0,3173,-5.536999999999989,0.4579262527576426,-5.539699999999989,719 days 21:30:00
2,24,0.9387024928885079,55,42,supertrend,0,0,0,1,500,300,200,0.1,10,0,7968,-2.9870000000000503,0.5454317269076305,-8.028800000000016,698 days 17:00:00
3,14,2.6007640499034523,69,28,supertrend,0,0,0,1,400,450,50,0.1,10,0,4138,0.13900000000001,0.5161913968100532,-4.739099999999997,867 days 17:45:00
4,88,0.8658051782252719,41,29,supertrend,0,0,0,1,50,500,150,0.1,10,0,9190,-1.1730000000000018,0.5391730141458106,-7.951000000000029,1423 days 16:15:00
5,65,0.9570799348749911,72,36,supertrend,0,0,0,1,300,100,100,0.1,10,0,7992,-1.9770000000000065,0.5464214214214215,-6.642899999999993,750 days 00:45:00
6,82,2.118365193682319,42,38,supertrend,0,0,0,1,150,300,100,0.1,10,0,4386,-5.961000000000052,0.5189238486092111,-8.803700000000031,764 days 04:45:00
7,55,2.8943700872783413,13,23,supertrend,0,0,0,1,400,300,250,0.1,10,0,3754,-6.480999999999999,0.49760255727224295,-6.395499999999999,875 days 20:00:00
8,37,2.121102798211951,27,50,supertrend,0,0,0,1,300,100,50,0.1,10,0,4438,-2.83300000000006,0.5513744930148715,-9.381100000000057,895 days 15:15:00
9,69,0.7569933124297178,77,27,supertrend,0,0,0,1,450,350,100,0.1,10,0,10350,3.104999999999936,0.5433816425120773,-5.540700000000054,544 days 18:00:00
10,76,3.4974601479176144,73,48,supertrend,0,0,0,1,350,50,200,0.1,10,0,2574,-0.7830000000000086,0.5143745143745144,-6.798900000000003,1088 days 18:30:00
11,70,3.228433136810932,41,31,supertrend,0,0,0,1,250,50,100,0.1,10,0,3090,-3.7089999999999863,0.5019417475728155,-6.799200000000007,1054 days 10:45:00
12,20,1.1015271845348837,69,5,supertrend,0,0,0,1,500,250,200,0.1,10,0,10821,3.316999999999929,0.42685518898438224,-3.933600000000051,940 days 22:30:00
13,29,2.5667213871632133,69,13,supertrend,0,0,0,1,450,500,150,0.1,10,0,4189,7.275,0.4666984960611124,-0.1792999999999993,616 days 07:45:00
14,68,2.271345130789405,24,23,supertrend,0,0,0,1,50,150,200,0.1,10,0,4816,6.004999999999948,0.5066445182724253,-3.4359000000000104,496 days 04:15:00
15,37,0.7140672541588544,63,39,supertrend,0,0,0,1,100,150,250,0.1,10,0,9198,-5.361000000000018,0.5471841704718418,-7.8661000000000225,538 days 19:30:00
16,14,1.6332969851577097,61,49,supertrend,0,0,0,1,500,450,250,0.1,10,0,5506,2.656999999999987,0.5414093715946241,-6.709700000000024,959 days 12:00:00
17,83,1.453186641434224,97,44,supertrend,0,0,0,1,200,400,150,0.1,10,0,5624,0.39899999999999736,0.5364509246088194,-7.017000000000004,799 days 01:15:00
18,96,2.2675554528589816,82,6,supertrend,0,0,0,1,450,450,100,0.1,10,0,4001,-0.20600000000001817,0.39965008747813047,-5.892000000000023,930 days 01:15:00
19,33,3.1712220701801126,69,39,supertrend,0,0,0,1,100,100,150,0.1,10,0,3119,3.2150000000000305,0.5161910868868227,-4.7247,783 days 05:30:00
20,28,0.9750845086274835,74,26,supertrend,0,0,0,1,200,50,200,0.1,10,0,9864,8.638999999999996,0.5402473641524737,-0.7912999999999986,322 days 16:00:00
21,94,2.5886578027772726,58,22,supertrend,0,0,0,1,300,100,50,0.1,10,0,3855,-4.188000000000041,0.4765239948119325,-5.570500000000043,522 days 20:15:00
22,12,0.8733486988291651,48,44,supertrend,0,0,0,1,250,450,50,0.1,10,0,7964,-1.3310000000000302,0.5463335007533903,-7.162700000000009,1084 days 14:15:00
23,35,2.8556059559677602,22,31,supertrend,0,0,0,1,200,350,50,0.1,10,0,3642,7.038999999999977,0.5241625480505216,-2.5239999999999947,617 days 17:30:00
24,39,1.8322654810911407,39,50,supertrend,0,0,0,1,150,350,250,0.1,10,0,4938,-4.15899999999996,0.5455650060753341,-8.41709999999998,809 days 10:15:00
25,53,2.1256664476475535,85,16,supertrend,0,0,0,1,200,450,50,0.1,10,0,5632,2.422999999999964,0.4884588068181818,-2.401999999999986,635 days 10:30:00
26,61,1.577251912362458,28,47,supertrend,0,0,0,1,350,300,50,0.1,10,0,5366,1.9089999999999838,0.540439806187104,-8.337700000000005,964 days 05:30:00
27,79,2.1803663877461017,12,32,supertrend,0,0,0,1,500,500,100,0.1,10,0,4522,-6.881000000000052,0.5123839009287926,-10.773900000000038,443 days 20:45:00
28,96,1.3831671480635814,46,8,supertrend,0,0,0,1,300,150,100,0.1,10,0,8432,1.7740000000000595,0.46477703984819735,-4.4572999999999725,1439 days 22:45:00
29,11,3.2769413536907783,70,25,supertrend,0,0,0,1,250,250,100,0.1,10,0,2845,-1.6150000000000158,0.4780316344463972,-4.6971000000000185,823 days 21:45:00
30,89,1.4110157671736445,60,25,supertrend,0,0,0,1,50,250,150,0.1,10,0,7079,4.017000000000008,0.5259217403588078,-6.084099999999988,1271 days 07:30:00
31,52,3.297824354561557,25,6,supertrend,0,0,0,1,300,300,100,0.1,10,0,2685,5.009000000000012,0.3906890130353817,-0.9117999999999935,741 days 15:00:00
32,54,1.086989593080038,85,49,supertrend,0,0,0,1,150,200,250,0.1,10,0,6629,-2.3309999999999764,0.5531754412430231,-7.884099999999965,554 days 01:15:00
33,65,1.259495658034795,88,19,supertrend,0,0,0,1,50,500,100,0.1,10,0,8662,3.3289999999999678,0.524821057492496,-5.150700000000008,660 days 00:30:00
34,27,1.3964939076659006,78,16,supertrend,0,0,0,1,450,200,150,0.1,10,0,8800,4.154999999999998,0.5075,-1.9390000000000063,1017 days 08:30:00
35,12,2.600684135119142,33,25,supertrend,0,0,0,1,500,400,200,0.1,10,0,4124,2.531000000000024,0.5067895247332687,-2.2109999999999785,732 days 23:00:00
36,86,2.5524179602513803,21,35,supertrend,0,0,0,1,350,250,100,0.1,10,0,3751,-5.165000000000013,0.5182617968541722,-9.410900000000009,882 days 02:45:00
37,83,3.473131740945843,19,24,supertrend,0,0,0,1,350,50,200,0.1,10,0,2752,-6.132999999999993,0.46875,-8.44650000000002,531 days 07:00:00
38,82,3.4446396571995495,33,41,supertrend,0,0,0,1,350,500,100,0.1,10,0,2650,-1.5690000000000035,0.5120754716981132,-4.352200000000013,683 days 04:45:00
39,30,2.8882959985061087,81,34,supertrend,0,0,0,1,200,450,100,0.1,10,0,3539,13.186999999999987,0.530658378072902,-1.538299999999993,547 days 03:45:00
40,64,2.7250693549093263,60,12,supertrend,0,0,0,1,100,50,100,0.1,10,0,4049,-1.5110000000000232,0.4569029389972833,-3.8530000000000086,832 days 21:30:00
