no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,41,1.4178764400129067,14,14,supertrend,0,0,0,1,500,50,200,0.1,10,0,8180,1562.0,0.5017114914425428,-4249.3,1337 days 15:15:00
1,98,2.1203649728745058,33,24,supertrend,0,0,0,1,400,300,50,0.1,10,0,4669,-12750.0,0.5043906618119511,-15093.9,848 days 00:15:00
2,64,0.5678154918609899,43,36,supertrend,0,0,0,1,200,300,200,0.1,10,0,10061,-22926.0,0.5255938773481761,-27243.7,382 days 11:15:00
3,82,0.8214120319062602,47,43,supertrend,0,0,0,1,250,50,100,0.1,10,0,7735,-8042.0,0.5149321266968325,-15874.7,886 days 18:45:00
4,76,2.644191666383582,63,43,supertrend,0,0,0,1,350,400,250,0.1,10,0,3309,-17336.0,0.5077062556663645,-20521.0,427 days 06:00:00
5,66,1.483583077887124,38,6,supertrend,0,0,0,1,50,400,50,0.1,10,0,6704,14918.0,0.27416467780429593,139.8,280 days 16:15:00
6,71,1.4829475610532654,38,47,supertrend,0,0,0,1,400,300,100,0.1,10,0,5419,-16968.0,0.5279571876730024,-22386.5,549 days 11:00:00
7,100,1.9475871904986302,73,12,supertrend,0,0,0,1,50,200,50,0.1,10,0,5170,3683.0,0.27562862669245647,-1758.9,649 days 12:45:00
8,41,1.9127271274270345,58,6,supertrend,0,0,0,1,350,300,100,0.1,10,0,4558,-5761.0,0.40390522158841596,-7463.7,551 days 22:45:00
9,37,0.8868864443561596,98,35,supertrend,0,0,0,1,150,400,100,0.1,10,0,8521,-8025.0,0.502757892266166,-15440.4,893 days 04:45:00
10,96,3.373689529151431,38,8,supertrend,0,0,0,1,150,150,250,0.1,10,0,2066,-51.0,0.3659244917715392,-8425.0,1498 days 13:45:00
11,65,0.5595103057538034,90,46,supertrend,0,0,0,1,450,100,200,0.1,10,0,8613,-787.0,0.5430163706025775,-11409.5,1681 days 23:15:00
12,93,1.5541078147123306,57,22,supertrend,0,0,0,1,500,300,50,0.1,10,0,6751,6305.0,0.519626721967116,-4659.3,1453 days 04:45:00
13,100,0.6992624715437098,42,31,supertrend,0,0,0,1,500,500,50,0.1,10,0,10083,-13233.0,0.5415055043141922,-17491.3,260 days 17:00:00
14,90,1.9378281870975371,72,13,supertrend,0,0,0,1,300,50,200,0.1,10,0,5309,-7119.0,0.5021661329817292,-9516.1,1036 days 14:15:00
15,72,1.990162155846123,29,24,supertrend,0,0,0,1,250,300,250,0.1,10,0,5087,-4265.0,0.5008846078238648,-17522.3,1029 days 00:00:00
16,55,1.710956814223339,12,12,supertrend,0,0,0,1,400,150,150,0.1,10,0,6384,-2337.0,0.47650375939849626,-4871.1,451 days 15:45:00
17,82,0.537523045104288,10,37,supertrend,0,0,0,1,250,450,50,0.1,10,0,10029,-26376.0,0.5374414198823412,-30065.0,228 days 07:45:00
18,34,3.3757979707811288,53,35,supertrend,0,0,0,1,400,100,200,0.1,10,0,2510,-8828.0,0.49880478087649405,-11697.9,649 days 10:45:00
19,94,0.7814852217140477,30,22,supertrend,0,0,0,1,250,150,200,0.1,10,0,11475,-7415.0,0.5329847494553377,-10823.0,573 days 10:15:00
20,78,1.6749788528029863,30,32,supertrend,0,0,0,1,150,300,150,0.1,10,0,5763,-6235.0,0.4744056914801319,-15951.7,1644 days 12:30:00
21,72,2.4841498946426013,50,48,supertrend,0,0,0,1,150,300,100,0.1,10,0,3465,-10310.0,0.44502164502164504,-14311.5,420 days 17:15:00
22,56,2.632733279090296,85,15,supertrend,0,0,0,1,100,250,200,0.1,10,0,3352,5286.0,0.3466587112171838,-3067.5,997 days 12:15:00
23,13,2.2755532381542083,73,24,supertrend,0,0,0,1,350,500,250,0.1,10,0,4536,-10782.0,0.5041887125220459,-18343.5,332 days 08:45:00
24,30,1.9661137610789576,39,42,supertrend,0,0,0,1,250,200,250,0.1,10,0,4635,-22257.0,0.5141316073354908,-21930.8,636 days 17:15:00
25,14,0.511020746009133,51,33,supertrend,0,0,0,1,150,500,200,0.1,10,0,11279,-8869.0,0.5180423796435855,-19885.7,1084 days 11:00:00
26,34,0.6662362003929749,96,7,supertrend,0,0,0,1,500,150,200,0.1,10,0,18779,-436.0,0.4929442462324937,-6832.5,1263 days 14:45:00
27,61,2.0735484327391034,62,14,supertrend,0,0,0,1,450,250,50,0.1,10,0,4819,1797.0,0.46212907242166423,-5545.3,1017 days 10:30:00
28,41,1.2768112458618448,40,42,supertrend,0,0,0,1,150,300,150,0.1,10,0,6353,346.0,0.488902880528884,-6887.2,930 days 14:15:00
29,75,1.0315970425550516,61,15,supertrend,0,0,0,1,400,100,50,0.1,10,0,11008,-8578.0,0.5105377906976745,-15776.4,740 days 04:00:00
30,54,3.203355662517837,36,47,supertrend,0,0,0,1,500,50,50,0.1,10,0,2611,-1613.0,0.5124473381846036,-5299.7,431 days 02:30:00
31,77,0.8353809171436676,77,38,supertrend,0,0,0,1,50,500,150,0.1,10,0,8235,4879.0,0.35130540376442015,-838.8,999 days 03:45:00
32,17,0.6679306204089822,47,30,supertrend,0,0,0,1,300,100,150,0.1,10,0,10783,-21480.0,0.5293517573959009,-28815.9,590 days 08:45:00
33,91,1.4606189377999992,17,14,supertrend,0,0,0,1,100,100,50,0.1,10,0,7750,-2779.0,0.43987096774193546,-6443.5,371 days 16:15:00
34,88,2.44062456427075,17,7,supertrend,0,0,0,1,500,100,150,0.1,10,0,3362,-6888.0,0.44318857822724567,-7998.3,1310 days 14:45:00
35,50,0.7275804169331831,82,26,supertrend,0,0,0,1,300,350,200,0.1,10,0,11049,-5910.0,0.5367906597882162,-9373.5,495 days 17:45:00
36,88,3.0613900051112104,51,49,supertrend,0,0,0,1,400,50,50,0.1,10,0,2719,15483.0,0.5248253034203751,-1063.7,951 days 18:45:00
37,11,1.6872112439682128,43,24,supertrend,0,0,0,1,150,350,150,0.1,10,0,6640,11567.0,0.48659638554216866,-5944.4,1061 days 22:45:00
38,39,0.5650583608909021,66,11,supertrend,0,0,0,1,50,250,50,0.1,10,0,19277,5200.0,0.40903667583130154,-5373.9,995 days 20:00:00
39,47,1.1355046574870646,98,45,supertrend,0,0,0,1,200,300,250,0.1,10,0,6547,-6156.0,0.5153505422330839,-13746.1,980 days 05:15:00
40,64,2.4728097393524924,46,9,supertrend,0,0,0,1,450,300,200,0.1,10,0,3378,-2315.0,0.4067495559502664,-10020.4,609 days 00:15:00
41,22,2.4445512562161555,84,42,supertrend,0,0,0,1,200,200,150,0.1,10,0,3765,-10726.0,0.49269588313413015,-14839.4,487 days 12:30:00
42,91,1.1617167785695341,36,12,supertrend,0,0,0,1,100,50,150,0.1,10,0,10166,5201.0,0.4738343497934291,-2637.7,1452 days 00:30:00
43,23,1.9634141824199098,55,37,supertrend,0,0,0,1,350,50,250,0.1,10,0,4923,-11539.0,0.4980702823481617,-12168.8,1154 days 00:45:00
44,93,0.9231544709171059,61,21,supertrend,0,0,0,1,400,350,250,0.1,10,0,10659,-7450.0,0.5275354160803077,-10745.9,975 days 21:00:00
45,58,0.8676285100388262,36,14,supertrend,0,0,0,1,150,250,150,0.1,10,0,12992,-16197.0,0.4979987684729064,-20953.1,538 days 18:00:00
46,68,1.7343616749243616,77,16,supertrend,0,0,0,1,300,350,100,0.1,10,0,6262,3553.0,0.48946023634621527,-11889.5,1122 days 00:45:00
47,71,3.0257336305120917,37,40,supertrend,0,0,0,1,150,250,100,0.1,10,0,2843,2437.0,0.43088287020752725,-3362.8,463 days 01:15:00
48,12,0.8567757464644897,39,42,supertrend,0,0,0,1,200,450,100,0.1,10,0,7905,-9854.0,0.523213156230234,-19577.4,484 days 08:15:00
49,93,1.647653351971012,78,9,supertrend,0,0,0,1,150,250,250,0.1,10,0,6234,15947.0,0.4247674045556625,-1922.9,537 days 05:30:00
50,30,2.3007099463844316,78,34,supertrend,0,0,0,1,250,500,250,0.1,10,0,4183,-25808.0,0.49079607936887404,-26578.8,279 days 12:45:00
51,21,2.041453838895921,63,31,supertrend,0,0,0,1,200,500,200,0.1,10,0,4935,-5711.0,0.49766970618034445,-9933.3,737 days 20:30:00
52,41,1.863306696418745,57,44,supertrend,0,0,0,1,400,500,100,0.1,10,0,4751,-33041.0,0.5280993475057882,-36284.9,477 days 08:30:00
53,47,2.008181004653782,61,20,supertrend,0,0,0,1,250,300,250,0.1,10,0,5185,7712.0,0.49797492767598844,-1918.4,557 days 01:45:00
54,30,2.6025196203191445,16,47,supertrend,0,0,0,1,250,50,150,0.1,10,0,3403,3439.0,0.5098442550690567,-2489.3,424 days 10:30:00
55,73,0.5492287977992318,48,9,supertrend,0,0,0,1,450,150,150,0.1,10,0,20785,-2297.0,0.5083954775078181,-9693.2,936 days 10:15:00
