no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,97,0.793136077444342,70,13,supertrend,0,0,0,1,50,75,25,0.1,10,0,13071,8721.500000000005,0.4711192716701094,-2343.0500000000475,829 days 20:15:00
1,32,2.650819080688769,11,26,supertrend,0,0,0,1,25,175,125,0.1,10,0,3572,10222.899999999974,0.27547592385218367,-427.51999999999754,181 days 00:30:00
2,18,0.6050678508822898,12,22,supertrend,0,0,0,1,25,125,25,0.1,10,0,13419,4136.199999999844,0.40778001341381626,-488.1000000000378,602 days 03:00:00
3,25,3.303930888812047,54,6,supertrend,0,0,0,1,175,225,100,0.1,10,0,2136,2452.9000000000897,0.3838951310861423,-1079.7899999999981,410 days 11:30:00
4,31,1.9504106207055374,91,27,supertrend,0,0,0,1,250,50,125,0.1,10,0,5237,2389.2000000000153,0.5264464388008402,-277.1299999999936,964 days 22:45:00
5,79,3.2595492751911226,11,43,supertrend,0,0,0,1,200,50,100,0.1,10,0,2576,-11794.20000000009,0.5023291925465838,-12275.390000000092,420 days 13:00:00
6,53,2.5177240292091696,61,26,supertrend,0,0,0,1,75,50,50,0.1,10,0,3883,1654.9999999999964,0.475148081380376,-4186.389999999984,1000 days 13:30:00
7,61,2.0664153308910036,62,20,supertrend,0,0,0,1,75,50,100,0.1,10,0,5036,3028.9000000000697,0.4785544082605242,-3278.080000000008,895 days 20:30:00
8,82,2.1254581733278806,53,49,supertrend,0,0,0,1,100,175,25,0.1,10,0,3873,712.9999999999991,0.487993803253292,-5152.849999999943,1301 days 03:15:00
9,28,3.008901022964386,83,28,supertrend,0,0,0,1,25,175,100,0.1,10,0,2960,-711.0999999999958,0.25101351351351353,-2707.4100000000135,1135 days 09:00:00
10,32,0.7532641123427138,93,9,supertrend,0,0,0,1,100,200,100,0.1,10,0,16155,-5502.300000000274,0.5025069637883008,-8654.010000000257,370 days 08:15:00
11,80,2.9371458409248543,83,42,supertrend,0,0,0,1,125,75,100,0.1,10,0,2912,151.39999999995598,0.5013736263736264,-3581.3999999999733,1258 days 21:00:00
12,71,1.985841230943756,51,41,supertrend,0,0,0,1,175,150,25,0.1,10,0,4409,9423.100000000155,0.5432070764345657,-3916.999999999955,1006 days 19:45:00
13,73,2.013599867152196,38,43,supertrend,0,0,0,1,125,225,25,0.1,10,0,4275,4483.500000000007,0.5125146198830409,-4976.369999999993,1302 days 15:00:00
14,61,1.60265844880544,91,47,supertrend,0,0,0,1,150,200,75,0.1,10,0,5035,-82.49999999996362,0.5374379344587885,-9910.339999999984,1638 days 00:15:00
15,81,2.9124117974848835,11,48,supertrend,0,0,0,1,150,125,100,0.1,10,0,2880,-6494.600000000014,0.5079861111111111,-7798.819999999999,395 days 12:00:00
16,20,1.2641379779373496,47,32,supertrend,0,0,0,1,125,25,25,0.1,10,0,7367,3342.8000000000184,0.5250441156508755,-3053.08999999992,1062 days 08:15:00
17,10,3.2170055053556004,37,4,supertrend,0,0,0,1,250,100,125,0.1,10,0,2352,-682.0999999999894,0.38010204081632654,-4950.359999999969,786 days 21:00:00
18,89,2.897285002455151,45,41,supertrend,0,0,0,1,150,200,75,0.1,10,0,2903,4429.499999999998,0.5070616603513607,-1228.7299999999832,377 days 14:00:00
19,68,2.737896961351776,23,8,supertrend,0,0,0,1,125,100,100,0.1,10,0,3316,-11444.79999999998,0.4200844390832328,-11806.489999999982,530 days 07:30:00
20,38,3.235559423471771,51,11,supertrend,0,0,0,1,75,225,125,0.1,10,0,2432,5835.700000000013,0.3638980263157895,-505.0600000000025,532 days 01:45:00
21,87,1.216220492652105,19,40,supertrend,0,0,0,1,100,250,25,0.1,10,0,6245,3325.5000000000946,0.5125700560448359,-4822.92999999995,897 days 19:30:00
22,92,2.9591923968365563,38,33,supertrend,0,0,0,1,50,75,75,0.1,10,0,2900,-2395.0999999999785,0.3717241379310345,-3969.1699999999614,1472 days 21:30:00
23,57,1.2730227158908827,24,31,supertrend,0,0,0,1,225,25,25,0.1,10,0,6967,558.2000000000371,0.5217453710348787,-3348.210000000012,1286 days 06:00:00
24,82,1.5509582558623503,40,7,supertrend,0,0,0,1,125,125,75,0.1,10,0,6862,158.39999999988686,0.44141649664820753,-8407.88000000002,1478 days 09:00:00
25,60,2.7214286455790457,52,41,supertrend,0,0,0,1,250,225,75,0.1,10,0,3292,-4408.000000000054,0.5233900364520049,-5643.460000000053,406 days 08:00:00
26,84,2.1145491847830193,79,26,supertrend,0,0,0,1,100,250,50,0.1,10,0,4496,5370.000000000076,0.48576512455516013,-3893.7199999999884,960 days 08:00:00
