no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,38,2.1922870288314686,95,26,supertrend,0,0,0,1,2,4,1,0.1,10,0,1268,304.44999999999914,0.31545741324921134,-12.071999999999976,304 days 05:00:00
1,79,3.363886756156827,77,34,supertrend,0,0,0,1,3,1,2,0.1,10,0,733,248.06999999999977,0.4256480218281037,-13.68599999999999,385 days 02:15:00
2,38,0.9438082244189157,57,44,supertrend,0,0,0,1,2,5,2,0.1,10,0,1774,424.70999999999975,0.37316798196166856,-7.372000000000021,317 days 18:15:00
3,43,1.1845629579133847,84,17,supertrend,0,0,0,1,1,0,2,0.1,10,0,2436,368.3899999999996,0.256568144499179,12.107999999999986,194 days 21:30:00
4,64,1.8489842986086158,88,34,supertrend,0,0,0,1,0,4,0,0.1,10,0,1367,-487.3500000000004,0.5157278712509145,-502.2380000000002,424 days 00:45:00
5,18,2.7567495690584254,67,28,supertrend,0,0,0,1,3,4,1,0.1,10,0,1024,173.28000000000011,0.361328125,-57.210999999999956,450 days 00:00:00
6,28,3.482820769035798,61,30,supertrend,0,0,0,1,4,3,2,0.1,10,0,702,109.78999999999948,0.3903133903133903,-52.65400000000008,831 days 03:30:00
7,89,0.7266241039909699,20,27,supertrend,0,0,0,1,1,1,1,0.1,10,0,2662,577.34,0.33433508640120213,-18.369000000000007,106 days 19:00:00
8,30,0.8036554624597727,65,30,supertrend,0,0,0,1,3,5,2,0.1,10,0,2382,417.88000000000125,0.4378673383711167,-9.514999999999999,523 days 04:15:00
9,93,3.0284722839023175,33,22,supertrend,0,0,0,1,2,4,2,0.1,10,0,852,147.4699999999998,0.2852112676056338,-19.740999999999993,624 days 23:30:00
10,77,0.5678986662968136,65,7,supertrend,0,0,0,1,5,3,2,0.1,10,0,5163,127.0600000000025,0.4938988959907031,-155.36199999999846,1139 days 22:45:00
11,55,3.4321263786790404,74,17,supertrend,0,0,0,1,1,2,0,0.1,10,0,678,160.34000000000012,0.14454277286135694,-21.380000000000038,278 days 00:15:00
12,91,1.771896838810929,69,33,supertrend,0,0,0,1,2,4,0,0.1,10,0,1417,496.3000000000003,0.33380381086803107,-20.978,224 days 02:30:00
13,59,2.4348354584568126,26,28,supertrend,0,0,0,1,0,5,0,0.1,10,0,1115,-749.1699999999994,0.48789237668161434,-721.1520000000005,869 days 22:45:00
14,33,1.5507597414348644,34,40,supertrend,0,0,0,1,3,0,1,0.1,10,0,1463,342.0699999999995,0.3943950786056049,-12.883999999999919,208 days 05:15:00
15,91,1.0834513661517935,86,4,supertrend,0,0,0,1,4,4,1,0.1,10,0,2354,629.4099999999994,0.3967714528462192,-29.47800000000002,231 days 18:15:00
16,12,0.8926876287256678,45,22,supertrend,0,0,0,1,4,3,1,0.1,10,0,2834,251.0699999999993,0.4911785462244178,-101.48800000000048,449 days 04:00:00
17,94,1.6196244262546173,85,32,supertrend,0,0,0,1,3,1,2,0.1,10,0,1552,432.3799999999999,0.4497422680412371,-74.18299999999964,391 days 23:45:00
18,28,2.616007354187764,37,16,supertrend,0,0,0,1,3,2,1,0.1,10,0,1037,407.58000000000095,0.390549662487946,17.14999999999998,335 days 23:30:00
19,34,3.1307584327633387,67,26,supertrend,0,0,0,1,2,2,1,0.1,10,0,821,202.7599999999998,0.3264311814859927,3.5419999999997374,629 days 04:00:00
