no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,26,2.412239016176395,14,48,supertrend,0,0,0,1,0,0,0,0.1,10,0,3752,22.11799999999981,0.5335820895522388,-4.359100000000088,195 days 15:15:00
1,67,2.8166351390971065,98,8,supertrend,0,0,0,1,0,0,0,0.1,10,0,2733,1.5499999999995993,0.3966337358214416,-17.172300000000284,745 days 10:30:00
2,76,2.7745183974853296,38,17,supertrend,0,0,0,1,0,0,0,0.1,10,0,3133,-22.326999999999856,0.44462176827322053,-49.8566000000001,641 days 05:00:00
3,49,3.3993317833689147,99,25,supertrend,0,0,0,1,0,0,0,0.1,10,0,2357,4.465999999999553,0.4739075095460331,-24.721800000000467,1645 days 00:15:00
4,44,3.1229864023340586,18,42,supertrend,0,0,0,1,0,0,0,0.1,10,0,2692,-36.45599999999956,0.5081723625557206,-35.200399999999554,692 days 07:00:00
5,60,2.78479648646773,47,36,supertrend,0,0,0,1,0,0,0,0.1,10,0,3149,3.0400000000005463,0.5179422038742458,-8.288399999999935,411 days 08:45:00
6,73,1.787718928326603,41,6,supertrend,0,0,0,1,0,0,0,0.1,10,0,5165,-35.00200000000079,0.3909002904162633,-45.60350000000127,862 days 18:00:00
7,18,2.361753090453473,88,43,supertrend,0,0,0,1,0,0,0,0.1,10,0,4032,7.756000000000611,0.5319940476190477,-18.196999999999704,707 days 00:30:00
8,47,2.9668452662437335,14,23,supertrend,0,0,0,1,0,0,0,0.1,10,0,2899,-19.79699999999883,0.4756812694032425,-45.95369999999975,1055 days 17:15:00
9,69,1.3675765607326587,73,22,supertrend,0,0,0,1,0,0,0,0.1,10,0,7716,-11.574000000000126,0.5250129600829445,-17.282500000000237,645 days 00:30:00
10,81,2.297636391257236,61,4,supertrend,0,0,0,1,0,0,0,0.1,10,0,3547,-15.53599999999841,0.36537919368480404,-17.39009999999822,173 days 03:45:00
11,93,1.1724275071824124,97,45,supertrend,0,0,0,1,0,0,0,0.1,10,0,6462,-18.555999999999045,0.5434849891674404,-23.59449999999878,1226 days 21:45:00
12,76,2.543846648082677,65,44,supertrend,0,0,0,1,0,0,0,0.1,10,0,3385,4.135999999999484,0.5243722304283605,-3.8564000000000673,260 days 01:15:00
13,79,1.069409630770886,96,18,supertrend,0,0,0,1,0,0,0,0.1,10,0,10022,38.99299999999923,0.5310317301935742,-2.022699999999955,177 days 15:00:00
14,33,2.762597505616427,82,12,supertrend,0,0,0,1,0,0,0,0.1,10,0,2947,-18.01400000000045,0.4221241940956905,-30.142900000000637,525 days 00:00:00
15,64,1.599997997921328,99,32,supertrend,0,0,0,1,0,0,0,0.1,10,0,6006,1.0639999999997087,0.5336330336330336,-7.085999999999632,654 days 01:15:00
16,75,0.6671648766761635,74,24,supertrend,0,0,0,1,0,0,0,0.1,10,0,12282,-33.204000000000434,0.5339521250610649,-48.97830000000124,348 days 16:45:00
17,76,1.6479446526173627,73,29,supertrend,0,0,0,1,0,0,0,0.1,10,0,5976,-14.252000000002084,0.5317938420348058,-14.852500000001854,993 days 06:00:00
18,39,2.4972174194073,50,11,supertrend,0,0,0,1,0,0,0,0.1,10,0,3453,-16.246000000000222,0.4233999420793513,-29.99730000000026,804 days 06:45:00
19,99,3.4950712071719923,18,35,supertrend,0,0,0,1,0,0,0,0.1,10,0,2251,-33.07500000000104,0.4953354064860062,-32.58510000000111,533 days 04:30:00
20,64,3.3548806572829806,96,40,supertrend,0,0,0,1,0,0,0,0.1,10,0,2414,-13.68200000000077,0.5049710024855012,-23.225800000000756,215 days 00:30:00
