no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,83,2.1857120460668615,18,24,supertrend,0,0,0,1,0,0,0,0.1,10,0,4199,23.448999999999664,0.5017861395570374,-14.968600000000013,382 days 03:00:00
1,92,0.8280800526582801,75,34,supertrend,0,0,0,1,0,0,0,0.1,10,0,8704,14.982000000000124,0.5546875,-5.501500000000053,740 days 22:15:00
2,52,2.570977235842563,90,38,supertrend,0,0,0,1,0,0,0,0.1,10,0,3366,15.279000000000046,0.5308972073677956,-5.64519999999999,756 days 07:00:00
3,33,2.9832410896918296,41,42,supertrend,0,0,0,1,0,0,0,0.1,10,0,2794,13.17499999999998,0.5257695060844667,-13.771799999999866,1194 days 12:00:00
4,48,2.0998296126620932,60,14,supertrend,0,0,0,1,0,0,0,0.1,10,0,4815,-12.743000000000059,0.47331256490134993,-22.475500000000007,1029 days 18:45:00
5,60,2.096485446017334,71,8,supertrend,0,0,0,1,0,0,0,0.1,10,0,4537,-29.529999999999998,0.4079788406435971,-31.71320000000005,474 days 09:45:00
6,72,2.331309535430088,25,23,supertrend,0,0,0,1,0,0,0,0.1,10,0,3903,22.08999999999993,0.5052523699718166,-10.336900000000021,373 days 10:15:00
7,30,2.1122269670945175,93,30,supertrend,0,0,0,1,0,0,0,0.1,10,0,4569,16.870999999999917,0.5331582403151675,-18.26160000000011,1053 days 15:00:00
8,74,2.990863146854506,58,40,supertrend,0,0,0,1,0,0,0,0.1,10,0,2664,-16.603999999999953,0.5067567567567568,-16.763999999999918,896 days 06:00:00
9,42,0.9602975002768485,74,44,supertrend,0,0,0,1,0,0,0,0.1,10,0,7239,25.12799999999996,0.5730073214532394,-6.691100000000055,248 days 17:15:00
10,100,2.713873410472343,21,31,supertrend,0,0,0,1,0,0,0,0.1,10,0,3072,-25.644000000000016,0.4866536458333333,-27.16609999999999,446 days 23:30:00
11,69,0.6557100931760961,76,29,supertrend,0,0,0,1,0,0,0,0.1,10,0,10750,12.563000000000045,0.5535813953488372,-2.501099999999994,1166 days 15:00:00
12,42,1.069652757900141,38,28,supertrend,0,0,0,1,0,0,0,0.1,10,0,8433,24.6179999999999,0.5528281750266809,-1.4955999999999599,318 days 12:15:00
13,62,2.446143683897224,59,25,supertrend,0,0,0,1,0,0,0,0.1,10,0,3709,27.067000000000004,0.516850903208412,-7.4314,425 days 13:30:00
14,73,2.327484249666096,35,23,supertrend,0,0,0,1,0,0,0,0.1,10,0,3909,14.875999999999955,0.4993604502430289,-10.962800000000028,597 days 19:00:00
15,90,3.0684641291134254,79,20,supertrend,0,0,0,1,0,0,0,0.1,10,0,2586,-4.671999999999997,0.45784996133023975,-6.3178000000000125,637 days 12:45:00
16,61,1.1709587553331076,61,24,supertrend,0,0,0,1,0,0,0,0.1,10,0,8227,41.79200000000036,0.5550018232648596,-5.487299999999963,397 days 16:45:00
17,51,1.4849398967717558,76,48,supertrend,0,0,0,1,0,0,0,0.1,10,0,5304,26.8969999999998,0.5565610859728507,-7.69130000000008,367 days 15:00:00
18,43,0.6699438261291504,69,49,supertrend,0,0,0,1,0,0,0,0.1,10,0,8008,17.241000000000213,0.5782967032967034,-5.458800000000032,242 days 02:30:00
19,88,1.3727761842524653,80,16,supertrend,0,0,0,1,0,0,0,0.1,10,0,7753,11.076999999999643,0.5050948020121243,-9.866600000000028,1521 days 18:00:00
20,53,2.2612068859386834,88,17,supertrend,0,0,0,1,0,0,0,0.1,10,0,4283,4.013000000000044,0.48400653747373334,-11.037200000000041,1142 days 07:30:00
21,11,2.2538187429206324,10,8,supertrend,0,0,0,1,0,0,0,0.1,10,0,3511,-37.11900000000008,0.37054970093990314,-41.73930000000009,503 days 02:00:00
22,79,1.5661235685952541,63,35,supertrend,0,0,0,1,0,0,0,0.1,10,0,5610,10.857999999999873,0.5379679144385027,-11.752000000000075,813 days 09:45:00
