no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,98,2.1115421210449252,61,48,supertrend,0,0,0,1,50,25,25,0.1,10,0,3605,-320.0500000000163,0.537864077669903,-456.88799999999975,648 days 23:15:00
1,28,1.716230887970011,58,26,supertrend,0,0,0,1,5,5,25,0.1,10,0,5625,-450.969999999995,0.43822222222222224,-549.6579999999849,885 days 13:00:00
2,88,2.746594101200645,55,8,supertrend,0,0,0,1,30,10,25,0.1,10,0,2689,431.8999999999926,0.41204908888062475,-262.0180000000009,398 days 22:45:00
3,84,2.411155353436525,11,46,supertrend,0,0,0,1,40,5,25,0.1,10,0,3197,-406.3899999999976,0.5189239912417892,-432.984,582 days 06:45:00
4,31,1.229335144562584,32,10,supertrend,0,0,0,1,25,10,25,0.1,10,0,8950,115.05999999998971,0.48614525139664805,-596.7830000000034,1556 days 15:30:00
5,85,3.372157509839104,42,21,supertrend,0,0,0,1,20,35,10,0.1,10,0,2152,-126.23999999999705,0.44470260223048325,-419.39799999999985,1478 days 08:30:00
6,25,0.5239117476737801,41,16,supertrend,0,0,0,1,10,5,20,0.1,10,0,16325,-369.9399999999803,0.5284532924961716,-459.58899999998084,410 days 01:00:00
7,76,2.0017943965842857,14,13,supertrend,0,0,0,1,10,50,20,0.1,10,0,4569,633.3499999999879,0.4447362661413876,-179.74400000001285,729 days 07:30:00
8,93,1.4957384547570034,39,18,supertrend,0,0,0,1,35,5,25,0.1,10,0,6456,17.380000000016025,0.5037174721189591,-465.33699999999396,1233 days 08:45:00
9,98,2.371218913227541,87,12,supertrend,0,0,0,1,35,25,10,0.1,10,0,3456,-40.37999999999715,0.4296875,-875.9800000000015,1677 days 00:15:00
10,35,1.2152169727264686,51,4,supertrend,0,0,0,1,40,40,10,0.1,10,0,7276,-35.68999999998982,0.38235294117647056,-597.1500000000019,1720 days 22:30:00
11,36,3.0466550492096083,76,9,supertrend,0,0,0,1,15,15,15,0.1,10,0,2219,535.2299999999977,0.39161784587652093,62.83699999999785,373 days 00:15:00
12,10,2.387985988916566,41,21,supertrend,0,0,0,1,35,25,25,0.1,10,0,3522,758.8799999999881,0.4948892674616695,-57.179999999999424,719 days 03:15:00
13,16,1.7926054641840528,98,9,supertrend,0,0,0,1,30,35,20,0.1,10,0,4986,-17.93999999999437,0.4279983955074208,-966.6160000000075,1662 days 01:30:00
