no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,74,3.476157953858724,95,32,supertrend,0,0,0,1,1,2,1,0.1,2,0,2180,1950.179999999997,0.09908256880733946,-1.5600000000001728,260 days 20:15:00
1,99,3.05468458447985,27,28,supertrend,0,0,0,1,2,1,1,0.1,2,0,2510,2596.4299999999953,0.16772908366533865,-16.599999999999454,158 days 17:30:00
2,91,1.1297189382671917,99,37,supertrend,0,0,0,1,1,0,0,0.1,2,0,6894,5486.099999999994,0.12967798085291557,-9.807999999999765,45 days 00:30:00
3,72,1.9693462977933702,82,31,supertrend,0,0,0,1,1,1,0,0.1,2,0,4546,3107.0499999999965,0.09656841179058513,7.848000000000138,204 days 18:15:00
4,37,1.8138957441694386,18,50,supertrend,0,0,0,1,1,1,0,0.1,2,0,4446,3900.1600000000017,0.10953666216824112,0.22000000000002728,125 days 01:00:00
5,29,1.660335349979841,45,34,supertrend,0,0,0,1,1,2,0,0.1,2,0,5620,3148.869999999989,0.1110320284697509,-21.16399999999994,315 days 07:00:00
6,100,1.2048161357374143,49,18,supertrend,0,0,0,1,2,2,1,0.1,2,0,8450,6505.500000000004,0.20911242603550295,-22.513000000000556,140 days 06:00:00
7,48,1.9029253720614512,60,36,supertrend,0,0,0,1,2,2,1,0.1,2,0,4708,3632.3199999999933,0.18776550552251486,-76.25599999999972,192 days 19:15:00
8,36,2.992560403467426,58,18,supertrend,0,0,0,1,0,1,0,0.1,2,0,2904,-638.6099999999957,0.4528236914600551,-1126.8839999999996,1066 days 10:00:00
9,64,0.5949228689110954,33,5,supertrend,0,0,0,1,2,0,1,0.1,2,0,20108,12951.650000000001,0.20653471255221803,-4.740000000000009,123 days 13:30:00
10,84,1.6361452690076295,37,38,supertrend,0,0,0,1,0,2,0,0.1,2,0,5035,6492.610000000016,0.5543197616683218,-1632.9180000000026,292 days 02:15:00
11,70,0.8986499989964828,17,17,supertrend,0,0,0,1,0,0,0,0.1,2,0,11234,10031.270000000064,0.548602456827488,-502.08900000000153,259 days 20:15:00
12,18,2.0162254230156806,89,13,supertrend,0,0,0,1,2,0,0,0.1,2,0,5120,4585.120000000006,0.1513671875,2.006000000000131,195 days 19:45:00
13,27,2.956840340583364,72,6,supertrend,0,0,0,1,2,0,0,0.1,2,0,2732,-272.14999999999884,0.06588579795021962,-337.4099999999992,502 days 21:30:00
14,77,3.012722452287774,24,7,supertrend,0,0,0,1,1,0,0,0.1,2,0,2642,965.1299999999994,0.045420136260408785,45.42000000000007,371 days 02:30:00
15,25,0.7950375291658015,47,43,supertrend,0,0,0,1,2,1,1,0.1,2,0,8222,6093.259999999999,0.24349306738019946,-11.64199999999978,116 days 16:30:00
16,46,0.7296409324307632,54,43,supertrend,0,0,0,1,2,0,1,0.1,2,0,8356,6863.660000000008,0.2136189564384873,-16.98199999999961,115 days 06:00:00
17,10,1.303799343138874,43,4,supertrend,0,0,0,1,0,1,1,0.1,2,0,7355,-8205.339999999995,0.36804894629503737,-8186.000999999994,397 days 16:15:00
