no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
0,73,0.9136761510358475,43,41,supertrend,0,0,0,1,400,200,50,0.1,10,0,795,5749.0,0.5484276729559748,-2137.0,55 days 15:15:00
1,39,2.6023066137938167,52,5,supertrend,0,0,0,1,300,100,100,0.1,10,0,306,2240.0,0.43790849673202614,-3012.0,57 days 07:15:00
2,30,3.4779400144486337,78,17,supertrend,0,0,0,1,300,300,150,0.1,10,0,206,2187.0,0.4223300970873786,-2122.0,90 days 01:45:00
3,25,0.7593037046804495,27,27,supertrend,0,0,0,1,300,450,50,0.1,10,0,1105,2295.0,0.5276018099547511,-2166.0,95 days 21:30:00
4,37,1.7330924559650547,17,23,supertrend,0,0,0,1,150,100,250,0.1,10,0,627,9197.0,0.48165869218500795,-1937.0,44 days 16:00:00
5,100,0.7189698120008304,29,38,supertrend,0,0,0,1,400,100,100,0.1,10,0,893,541.0,0.5352743561030235,-4104.0,146 days 01:30:00
6,70,0.6570117718849059,66,11,supertrend,0,0,0,1,200,250,200,0.1,10,0,1760,7575.0,0.5272727272727272,-562.0,66 days 14:45:00
7,11,2.0768765201045505,22,5,supertrend,0,0,0,1,150,500,200,0.1,10,0,358,5305.0,0.29608938547486036,-1148.0,83 days 17:00:00
8,54,2.4714779667613658,13,49,supertrend,0,0,0,1,300,350,150,0.1,10,0,341,-2919.0,0.4897360703812317,-5360.0,41 days 15:30:00
9,13,0.770922418078577,95,15,supertrend,0,0,0,1,150,50,150,0.1,10,0,1495,-2802.0,0.4662207357859532,-5903.0,140 days 06:15:00
10,80,2.463061727671432,24,16,supertrend,0,0,0,1,400,450,100,0.1,10,0,374,-226.0,0.44385026737967914,-3128.0,106 days 12:30:00
11,67,0.513252185462352,32,5,supertrend,0,0,0,1,50,400,100,0.1,10,0,2346,2418.0,0.3171355498721228,-1655.0,70 days 14:30:00
12,32,2.03314840165665,81,15,supertrend,0,0,0,1,300,50,150,0.1,10,0,535,5304.0,0.5046728971962616,-1917.0,49 days 14:15:00
13,52,2.152402118644373,48,16,supertrend,0,0,0,1,400,350,250,0.1,10,0,470,4101.0,0.4957446808510638,-1507.0,43 days 13:30:00
14,60,2.2458862241341366,60,40,supertrend,0,0,0,1,350,50,100,0.1,10,0,407,-3942.0,0.47665847665847666,-5869.0,37 days 21:45:00
15,88,1.1819506990910982,44,46,supertrend,0,0,0,1,400,100,150,0.1,10,0,653,5227.0,0.5421133231240429,-1270.0,42 days 01:45:00
16,89,2.492994668892517,32,6,supertrend,0,0,0,1,100,50,50,0.1,10,0,314,-1126.0,0.3089171974522293,-2860.0,92 days 00:45:00
17,86,1.498586596187641,32,23,supertrend,0,0,0,1,500,200,200,0.1,10,0,705,-2201.0,0.5120567375886524,-3107.0,44 days 13:45:00
18,50,3.4175875942356715,89,10,supertrend,0,0,0,1,250,400,250,0.1,10,0,202,-573.0,0.3316831683168317,-1059.0,51 days 12:45:00
19,10,3.1972410278574825,15,35,supertrend,0,0,0,1,350,350,50,0.1,10,0,289,3524.0,0.47058823529411764,-2815.0,97 days 20:00:00
20,61,2.385969911794488,38,50,supertrend,0,0,0,1,300,400,100,0.1,10,0,351,-5737.0,0.452991452991453,-7991.0,33 days 16:15:00
21,22,1.8091905421680214,14,28,supertrend,0,0,0,1,150,100,50,0.1,10,0,591,3553.0,0.4500846023688663,-1641.0,88 days 16:15:00
22,11,1.3881845488595437,63,50,supertrend,0,0,0,1,50,450,150,0.1,10,0,567,2089.0,0.2768959435626102,-620.0,85 days 00:00:00
23,89,2.6309768942898666,34,45,supertrend,0,0,0,1,350,450,100,0.1,10,0,321,3390.0,0.5171339563862928,-2571.0,63 days 06:15:00
24,23,3.101574024925208,69,34,supertrend,0,0,0,1,100,500,150,0.1,10,0,293,-1458.0,0.2593856655290102,-2797.0,147 days 11:30:00
25,30,0.7882851116165714,84,31,supertrend,0,0,0,1,350,300,100,0.1,10,0,1009,6925.0,0.5401387512388504,-927.0,41 days 22:45:00
26,73,1.2876004989696428,81,25,supertrend,0,0,0,1,300,100,150,0.1,10,0,809,4596.0,0.522867737948084,-585.0,87 days 18:30:00
27,57,1.2225651211749367,88,40,supertrend,0,0,0,1,300,250,200,0.1,10,0,687,1177.0,0.5109170305676856,-1634.0,54 days 03:15:00
28,20,3.434877680149178,59,21,supertrend,0,0,0,1,250,150,200,0.1,10,0,224,2741.0,0.48214285714285715,-2014.0,33 days 10:45:00
