no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,100,2.3021478614435686,51,16,supertrend,0,0,0,1,350,50,200,0.1,10,0,3947,-2699.7999999998865,0.4983531796300988
1,19,1.7616454431197486,81,8,supertrend,0,0,0,1,300,100,200,0.1,10,0,5350,9074.299999999985,0.4530841121495327
2,69,3.321149257224471,36,25,supertrend,0,0,0,1,50,300,100,0.1,10,0,2504,-5483.100000000068,0.23202875399361023
3,67,2.4498006088629083,26,16,supertrend,0,0,0,1,300,500,150,0.1,10,0,3963,14610.89999999995,0.4766590966439566
4,26,2.6599637856717915,27,48,supertrend,0,0,0,1,100,250,200,0.1,10,0,3258,6071.5,0.41098833640270105
5,18,0.7125697136549017,25,27,supertrend,0,0,0,1,150,100,250,0.1,10,0,10888,6499.200000000252,0.5303085966201323
6,10,1.3053324946069282,25,27,supertrend,0,0,0,1,250,500,100,0.1,10,0,7680,-4341.000000000309,0.5200520833333333
7,43,1.1389663172464668,81,35,supertrend,0,0,0,1,500,500,100,0.1,10,0,7086,20190.600000000246,0.5598362969235111
8,56,3.2409571205040484,69,49,supertrend,0,0,0,1,50,500,250,0.1,10,0,2482,1772.000000000029,0.2542304593070105
9,19,1.3117589340976221,69,12,supertrend,0,0,0,1,400,450,250,0.1,10,0,8764,13431.999999999967,0.49908717480602466
10,70,3.412522395426074,37,16,supertrend,0,0,0,1,150,400,200,0.1,10,0,2415,9628.39999999995,0.40248447204968946
11,30,2.0961143202811408,74,24,supertrend,0,0,0,1,400,300,250,0.1,10,0,4677,6351.999999999833,0.5097284584135129
12,13,1.7185247583257834,39,14,supertrend,0,0,0,1,250,450,50,0.1,10,0,6185,-3034.099999999933,0.48100242522231207
13,19,0.5652288784441268,69,7,supertrend,0,0,0,1,500,450,150,0.1,10,0,21350,4333.1999999996515,0.5086182669789228
14,12,1.014382707159109,89,19,supertrend,0,0,0,1,350,350,150,0.1,10,0,10658,8306.299999999981,0.5336836179395759
15,93,1.6168376679662342,63,17,supertrend,0,0,0,1,500,50,100,0.1,10,0,6262,-5203.199999999713,0.49648674544873844
16,46,3.3000018950005146,48,32,supertrend,0,0,0,1,150,100,100,0.1,10,0,2554,-2664.400000000034,0.45653876272513705
17,18,2.543283241709601,55,33,supertrend,0,0,0,1,300,500,250,0.1,10,0,3636,5974.700000000026,0.5148514851485149
18,34,3.33096966354469,79,6,supertrend,0,0,0,1,50,200,100,0.1,10,0,2105,964.1000000001077,0.21092636579572446
19,55,2.4203011981727673,93,47,supertrend,0,0,0,1,350,500,150,0.1,10,0,3484,5328.199999999815,0.5321469575200919
20,35,1.597417944149452,96,39,supertrend,0,0,0,1,150,100,200,0.1,10,0,5500,6228.6999999998225,0.5114545454545455
21,65,2.0927153084756034,62,33,supertrend,0,0,0,1,300,100,200,0.1,10,0,4317,2151.1000000000276,0.5184155663655317
22,35,0.7981019570480141,74,13,supertrend,0,0,0,1,350,50,50,0.1,10,0,13632,10713.699999999757,0.524281103286385
23,37,1.911371188604352,17,24,supertrend,0,0,0,1,200,400,250,0.1,10,0,5267,9593.699999999848,0.5056009113347256
24,26,3.256950287588725,95,17,supertrend,0,0,0,1,150,150,250,0.1,10,0,2296,3311.1999999999753,0.42639372822299654
25,35,1.65178196417799,14,21,supertrend,0,0,0,1,400,300,200,0.1,10,0,6331,4220.200000000037,0.5188753751382088
26,23,2.3243224928323767,50,17,supertrend,0,0,0,1,350,250,50,0.1,10,0,4030,5229.599999999955,0.47766749379652607
27,35,3.3637262646672568,39,6,supertrend,0,0,0,1,450,250,150,0.1,10,0,2091,1281.7000000001353,0.3983739837398374
28,56,2.2195491130693457,44,18,supertrend,0,0,0,1,400,150,150,0.1,10,0,4519,8765.199999999812,0.5054215534410268
29,67,2.209055284815297,34,19,supertrend,0,0,0,1,100,300,50,0.1,10,0,4487,19349.500000000127,0.41430800089146425
30,16,1.8545943712415132,34,12,supertrend,0,0,0,1,300,250,150,0.1,10,0,5300,6241.799999999796,0.47188679245283016
31,54,1.386418213028018,53,40,supertrend,0,0,0,1,100,500,150,0.1,10,0,5846,10508.500000000065,0.46185425932261376
32,58,1.646318823123921,30,14,supertrend,0,0,0,1,300,400,150,0.1,10,0,6671,-5117.600000000013,0.49153050517163843
33,39,1.447062483635582,82,11,supertrend,0,0,0,1,150,300,100,0.1,10,0,7940,1511.099999999722,0.4658690176322418
34,52,1.7103144657165639,33,11,supertrend,0,0,0,1,200,250,150,0.1,10,0,6486,420.50000000026193,0.4687018193031144
35,19,2.3956584573500375,64,50,supertrend,0,0,0,1,500,400,150,0.1,10,0,3608,6942.5999999997475,0.5393569844789357
36,48,2.6291956698166525,42,21,supertrend,0,0,0,1,200,450,250,0.1,10,0,3634,-7345.800000000123,0.4479911942762796
37,68,2.238115979704806,47,13,supertrend,0,0,0,1,250,500,100,0.1,10,0,4442,7828.699999999826,0.46127870328680776
38,43,3.357675851788408,19,44,supertrend,0,0,0,1,450,300,50,0.1,10,0,2388,5542.099999999868,0.5234505862646566
39,79,2.08831436550792,38,27,supertrend,0,0,0,1,250,200,150,0.1,10,0,4416,-6353.699999999935,0.49728260869565216
40,32,2.5956087445891938,70,24,supertrend,0,0,0,1,150,350,50,0.1,10,0,3576,7216.799999999861,0.4499440715883669
41,96,2.485419451170174,41,24,supertrend,0,0,0,1,350,500,100,0.1,10,0,3534,5625.300000000105,0.49094510469722696
42,93,0.5139700115758475,60,45,supertrend,0,0,0,1,300,450,150,0.1,10,0,8722,25671.900000000303,0.569364824581518
43,95,1.8023087050686883,96,47,supertrend,0,0,0,1,400,300,250,0.1,10,0,4304,-7089.099999999969,0.5302044609665427
44,75,3.021714230173755,22,40,supertrend,0,0,0,1,200,150,50,0.1,10,0,2726,-3502.30000000009,0.4761555392516508
45,92,1.868848759326217,16,24,supertrend,0,0,0,1,300,500,250,0.1,10,0,5036,3422.1000000002023,0.5033756949960286
46,60,2.6809522085418327,31,10,supertrend,0,0,0,1,350,300,150,0.1,10,0,3359,6513.799999999981,0.4465614766299494
47,52,0.594680639625924,75,31,supertrend,0,0,0,1,500,350,100,0.1,10,0,10440,19574.40000000053,0.5663793103448276
48,87,1.3114006554329682,52,34,supertrend,0,0,0,1,150,450,200,0.1,10,0,6252,8989.700000000135,0.5007997440818938
49,82,1.47837551015022,35,39,supertrend,0,0,0,1,100,500,250,0.1,10,0,5494,16931.799999999643,0.45613396432471787
50,29,3.241052611822233,90,37,supertrend,0,0,0,1,500,100,200,0.1,10,0,2552,-2090.9000000000597,0.5301724137931034
51,47,3.2475598194294593,49,29,supertrend,0,0,0,1,400,250,150,0.1,10,0,2646,-3974.2999999998356,0.4894179894179894
52,79,3.1654750900685067,64,30,supertrend,0,0,0,1,250,350,50,0.1,10,0,2620,388.50000000005093,0.48091603053435117
53,31,0.8996242986831822,81,44,supertrend,0,0,0,1,450,400,150,0.1,10,0,7274,20105.200000000244,0.5666758317294474
54,58,3.4357149121691606,91,35,supertrend,0,0,0,1,200,500,150,0.1,10,0,2394,30692.899999999834,0.4703425229741019
55,66,1.2443718855182744,29,25,supertrend,0,0,0,1,400,300,250,0.1,10,0,7486,1812.1000000001259,0.5333956719209191
56,64,1.1436399189763904,49,37,supertrend,0,0,0,1,400,100,250,0.1,10,0,6748,-789.0999999996639,0.5392708950800237
57,70,1.5795646346599053,75,6,supertrend,0,0,0,1,100,250,50,0.1,10,0,6489,686.0000000001091,0.3814147018030513
58,15,2.340453005214135,10,30,supertrend,0,0,0,1,150,300,200,0.1,10,0,4074,1142.1000000000422,0.46759941089838
59,88,2.8699764787210684,54,20,supertrend,0,0,0,1,500,400,150,0.1,10,0,3011,20408.200000000194,0.4769179674526735
60,97,2.843727097340126,60,38,supertrend,0,0,0,1,200,150,200,0.1,10,0,2816,2921.6999999999425,0.4904119318181818
61,73,2.651482090992406,98,42,supertrend,0,0,0,1,100,200,150,0.1,10,0,3122,10834.299999999908,0.40198590647021143
62,69,2.191884545168208,97,44,supertrend,0,0,0,1,250,200,100,0.1,10,0,3806,1961.4000000000233,0.5210194429847609
63,21,2.834500484429804,66,44,supertrend,0,0,0,1,150,200,100,0.1,10,0,3080,-265.7999999999156,0.4590909090909091
64,18,3.15443894607932,19,17,supertrend,0,0,0,1,250,500,200,0.1,10,0,2240,11091.200000000139,0.43214285714285716
65,80,0.523237141830479,36,27,supertrend,0,0,0,1,350,400,100,0.1,10,0,11582,14941.30000000033,0.5576757036781212
66,24,2.3565141708922246,32,5,supertrend,0,0,0,1,150,100,250,0.1,10,0,3156,6499.1000000002205,0.40747782002534855
