no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,85,2.2059865420874414,20,30,supertrend,0,0,0,1,250,50,200,0.1,10,0,4318,-8673.0,0.5037054191755442
1,68,1.6726499126793697,45,42,supertrend,0,0,0,1,250,300,200,0.1,10,0,5178,-12073.0,0.5160293549633063
2,80,2.5170938892540202,74,4,supertrend,0,0,0,1,350,200,50,0.1,10,0,3075,8665.0,0.38308943089430897
3,74,1.6160940765449792,89,35,supertrend,0,0,0,1,400,400,100,0.1,10,0,5732,-3571.0,0.528960223307746
4,74,0.9799889455826163,61,45,supertrend,0,0,0,1,400,250,100,0.1,10,0,6950,-29246.0,0.5266187050359712
5,32,3.1255444956002503,81,6,supertrend,0,0,0,1,200,350,50,0.1,10,0,2239,4198.0,0.3483698079499777
6,73,3.063973164845231,63,47,supertrend,0,0,0,1,350,450,100,0.1,10,0,2736,-2017.0,0.49853801169590645
7,51,3.3250594182679336,16,10,supertrend,0,0,0,1,350,350,250,0.1,10,0,2167,-6986.0,0.3876326718966313
8,60,2.5196462103952433,94,23,supertrend,0,0,0,1,300,150,250,0.1,10,0,3755,9012.0,0.5030625832223702
9,67,1.0968579968786782,99,50,supertrend,0,0,0,1,500,350,150,0.1,10,0,6186,-22801.0,0.5400905269964436
10,72,1.9254271574293953,89,12,supertrend,0,0,0,1,350,200,150,0.1,10,0,5224,4748.0,0.4703292496171516
11,58,2.8498452319046383,15,48,supertrend,0,0,0,1,500,150,200,0.1,10,0,2956,-10946.0,0.5104871447902571
12,66,2.435393031887632,50,26,supertrend,0,0,0,1,50,150,100,0.1,10,0,3915,2856.0,0.28045977011494255
13,50,2.795018630877571,92,29,supertrend,0,0,0,1,100,150,200,0.1,10,0,3243,-6817.0,0.38359543632439097
14,47,2.1703819687920944,25,10,supertrend,0,0,0,1,150,400,200,0.1,10,0,4202,40.0,0.39838172298905283
15,53,1.7636111972878599,67,23,supertrend,0,0,0,1,300,450,250,0.1,10,0,5940,-24143.0,0.5
16,40,1.4517007352775861,67,23,supertrend,0,0,0,1,100,300,200,0.1,10,0,7237,-4800.0,0.4311178665192759
17,39,0.6861509034267083,32,47,supertrend,0,0,0,1,400,300,50,0.1,10,0,7908,-13581.0,0.5417298937784522
18,63,2.4460621570093313,85,10,supertrend,0,0,0,1,50,250,100,0.1,10,0,3483,2335.0,0.2250933103646282
19,79,1.7724612797080308,22,45,supertrend,0,0,0,1,300,300,50,0.1,10,0,4746,-16116.0,0.5339233038348082
20,33,0.899081410751748,41,46,supertrend,0,0,0,1,250,300,50,0.1,10,0,7172,-16873.0,0.5249581706636921
21,62,2.6425051218960043,24,11,supertrend,0,0,0,1,200,400,250,0.1,10,0,3135,-3882.0,0.39649122807017545
22,13,2.9420413196318913,65,46,supertrend,0,0,0,1,50,50,100,0.1,10,0,3108,-7060.0,0.32722007722007723
23,33,1.9332189618038558,17,16,supertrend,0,0,0,1,250,250,200,0.1,10,0,5444,12053.0,0.4843864805290228
24,35,1.5836364864486252,30,20,supertrend,0,0,0,1,150,200,50,0.1,10,0,6875,4182.0,0.4778181818181818
25,39,0.8307618745433368,25,15,supertrend,0,0,0,1,500,350,200,0.1,10,0,13165,-19345.0,0.5172047094568932
