no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,11,3.286271999422882,32,5,supertrend,0,0,0,1,150,175,75,0.1,10,0,2159,533.8000000000175,0.36127836961556276
1,26,1.7196817061852425,81,13,supertrend,0,0,0,1,175,200,125,0.1,10,0,6346,-139.20000000000528,0.480617711944532
2,27,0.9631277815203345,41,49,supertrend,0,0,0,1,175,75,75,0.1,10,0,6726,7947.400000000209,0.5560511448111805
3,72,3.42692086851211,49,33,supertrend,0,0,0,1,150,200,125,0.1,10,0,2506,-4759.699999999911,0.47086991221069435
4,89,2.1619276508390617,88,22,supertrend,0,0,0,1,225,50,125,0.1,10,0,4436,4235.000000000085,0.5119477006311993
5,32,1.9486138475617314,87,9,supertrend,0,0,0,1,150,250,125,0.1,10,0,5040,6554.099999999951,0.4438492063492063
6,37,1.8352812163054624,87,31,supertrend,0,0,0,1,250,250,75,0.1,10,0,5336,6725.500000000044,0.5406671664167916
7,98,0.7899398530795072,70,6,supertrend,0,0,0,1,225,200,100,0.1,10,0,14303,-3805.6999999999352,0.4643081870936167
8,96,2.218944580920053,27,10,supertrend,0,0,0,1,200,100,100,0.1,10,0,4182,-11096.000000000045,0.4450023912003826
9,88,3.1940280661197455,73,13,supertrend,0,0,0,1,200,50,100,0.1,10,0,2572,1148.0000000000182,0.49455676516329705
10,37,0.5663925088621307,64,15,supertrend,0,0,0,1,125,125,25,0.1,10,0,15993,-671.2000000000535,0.5268554992809354
11,83,2.097973396142215,33,37,supertrend,0,0,0,1,125,225,25,0.1,10,0,4177,5249.199999999994,0.5101747665788844
12,82,1.123297459718923,46,44,supertrend,0,0,0,1,200,200,25,0.1,10,0,6254,-974.3999999997877,0.5484489926447074
13,44,3.1165658762244997,54,27,supertrend,0,0,0,1,125,250,25,0.1,10,0,2888,-5282.899999999931,0.47229916897506924
14,45,1.8143397137830348,80,9,supertrend,0,0,0,1,75,225,25,0.1,10,0,5904,13755.199999999955,0.442920054200542
15,11,0.6865010822394911,38,32,supertrend,0,0,0,1,50,225,50,0.1,10,0,10150,-2108.600000000116,0.4786206896551724
16,98,3.3442740545035865,13,35,supertrend,0,0,0,1,125,200,50,0.1,10,0,2434,-2633.399999999966,0.45932621199671325
17,95,0.8548125500576657,26,37,supertrend,0,0,0,1,25,25,50,0.1,10,0,7892,2228.6999999999325,0.3886213887480993
18,22,3.1761401890921324,50,27,supertrend,0,0,0,1,100,225,100,0.1,10,0,2707,-167.79999999999382,0.4495751754710011
19,65,2.076409499252291,87,32,supertrend,0,0,0,1,250,250,125,0.1,10,0,4528,8419.60000000015,0.538648409893993
20,76,0.9068748016301358,38,14,supertrend,0,0,0,1,200,150,25,0.1,10,0,11493,12858.399999999954,0.5180544679370052
21,49,2.7896738643300605,60,26,supertrend,0,0,0,1,100,175,25,0.1,10,0,3378,2335.1999999999816,0.465660153937241
22,86,2.3251618691129083,68,20,supertrend,0,0,0,1,225,250,25,0.1,10,0,4144,-4009.5999999999494,0.48865830115830117
23,30,0.5965471309989223,69,18,supertrend,0,0,0,1,225,225,50,0.1,10,0,14457,4347.000000000184,0.5364183440547832
