no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
0,70,2.8794902732865175,39,13,supertrend,0,0,0,1,15,40,25,0.1,10,0,2671,-261.3100000000088,0.41894421564956946
1,56,1.1474463160765676,46,43,supertrend,0,0,0,1,10,40,15,0.1,10,0,6238,582.1200000000028,0.5360692529656942
2,34,1.3053710095382978,50,17,supertrend,0,0,0,1,45,25,10,0.1,10,0,8044,109.98000000001025,0.5162854301342615
3,30,3.299336094360235,88,39,supertrend,0,0,0,1,45,40,25,0.1,10,0,2280,-242.96999999998593,0.5039473684210526
4,93,1.475035948839062,44,43,supertrend,0,0,0,1,15,35,20,0.1,10,0,5146,152.18000000000916,0.5384764865915274
5,88,2.1136384125365586,32,14,supertrend,0,0,0,1,40,5,20,0.1,10,0,4142,288.37999999999283,0.48599710284886527
6,19,1.0340519863134705,29,25,supertrend,0,0,0,1,25,15,15,0.1,10,0,8932,86.8000000000252,0.5410882221227049
7,44,2.228744474021516,11,24,supertrend,0,0,0,1,20,50,5,0.1,10,0,4077,351.32999999999583,0.5067451557517783
8,58,3.1122069336970464,50,49,supertrend,0,0,0,1,10,25,5,0.1,10,0,2368,-18.73000000000411,0.4543918918918919
9,36,0.8570791929248242,85,47,supertrend,0,0,0,1,10,20,15,0.1,10,0,7086,153.83000000001766,0.5414902624894158
10,77,1.5432385162987705,18,40,supertrend,0,0,0,1,25,30,20,0.1,10,0,5118,24.460000000023456,0.5392731535756154
11,23,3.2101424088927324,87,7,supertrend,0,0,0,1,40,50,10,0.1,10,0,1952,1092.9700000000028,0.3775614754098361
12,11,1.9612648300406064,33,6,supertrend,0,0,0,1,25,25,20,0.1,10,0,3739,-379.9300000000069,0.35597753410002675
13,26,2.925665288268811,100,29,supertrend,0,0,0,1,40,35,15,0.1,10,0,2716,680.8699999999974,0.5077319587628866
14,18,1.8453403865973521,31,5,supertrend,0,0,0,1,45,10,10,0.1,10,0,4173,-162.9800000000214,0.37167505391804456
15,69,2.1340318291818083,67,45,supertrend,0,0,0,1,40,5,25,0.1,10,0,3685,424.450000000003,0.5305291723202171
16,17,2.937132351482843,49,4,supertrend,0,0,0,1,40,50,5,0.1,10,0,2411,247.47999999999865,0.3633347158855247
17,90,1.5477833271735284,20,12,supertrend,0,0,0,1,35,35,20,0.1,10,0,6286,-389.8600000000031,0.4657970092268533
18,12,3.362796462568803,54,20,supertrend,0,0,0,1,50,35,15,0.1,10,0,1791,175.1799999999953,0.42546063651591287
19,41,1.910220187637988,35,25,supertrend,0,0,0,1,25,30,15,0.1,10,0,4907,-989.6199999999903,0.5113103729366212
20,16,0.9188925271555959,17,10,supertrend,0,0,0,1,15,30,15,0.1,10,0,12508,489.77999999995313,0.5104732970898624
21,52,1.826157281258942,11,49,supertrend,0,0,0,1,10,10,20,0.1,10,0,4219,-223.05999999999517,0.514339890969424
